CHR	POS	COUNT	FREQUENCY
3	1	35	0.0933333
3	100001	36	0.096
3	200001	37	0.0986667
3	300001	38	0.101333
3	400001	38	0.101333
3	500001	39	0.104
3	600001	42	0.112
3	700001	42	0.112
3	800001	42	0.112
3	900001	44	0.117333
3	1000001	41	0.109333
3	1100001	71	0.189333
3	1200001	73	0.194667
3	1300001	71	0.189333
3	1400001	71	0.189333
3	1500001	71	0.189333
3	1600001	74	0.197333
3	1700001	75	0.2
3	1800001	84	0.224
3	1900001	80	0.213333
3	2000001	74	0.197333
3	2100001	74	0.197333
3	2200001	75	0.2
3	2300001	77	0.205333
3	2400001	75	0.2
3	2500001	73	0.194667
3	2600001	52	0.138667
3	2700001	55	0.146667
3	2800001	56	0.149333
3	2900001	55	0.146667
3	3000001	54	0.144
3	3100001	54	0.144
3	3200001	51	0.136
3	3300001	55	0.146667
3	3400001	63	0.168
3	3500001	57	0.152
3	3600001	54	0.144
3	3700001	64	0.170667
3	3800001	65	0.173333
3	3900001	65	0.173333
3	4000001	65	0.173333
3	4100001	59	0.157333
3	4200001	58	0.154667
3	4300001	58	0.154667
3	4400001	58	0.154667
3	4500001	45	0.12
3	4600001	41	0.109333
3	4700001	45	0.12
3	4800001	49	0.130667
3	4900001	42	0.112
3	5000001	33	0.088
3	5100001	32	0.0853333
3	5200001	37	0.0986667
3	5300001	40	0.106667
3	5400001	47	0.125333
3	5500001	51	0.136
3	5600001	53	0.141333
3	5700001	66	0.176
3	5800001	67	0.178667
3	5900001	74	0.197333
3	6000001	72	0.192
3	6100001	73	0.194667
3	6200001	88	0.234667
3	6300001	82	0.218667
3	6400001	82	0.218667
3	6500001	82	0.218667
3	6600001	77	0.205333
3	6700001	61	0.162667
3	6800001	60	0.16
3	6900001	51	0.136
3	7000001	48	0.128
3	7100001	47	0.125333
3	7200001	38	0.101333
3	7300001	38	0.101333
3	7400001	37	0.0986667
3	7500001	40	0.106667
3	7600001	36	0.096
3	7700001	40	0.106667
3	7800001	39	0.104
3	7900001	45	0.12
3	8000001	49	0.130667
3	8100001	52	0.138667
3	8200001	53	0.141333
3	8300001	53	0.141333
3	8400001	50	0.133333
3	8500001	52	0.138667
3	8600001	54	0.144
3	8700001	54	0.144
3	8800001	57	0.152
3	8900001	54	0.144
3	9000001	55	0.146667
3	9100001	55	0.146667
3	9200001	56	0.149333
3	9300001	57	0.152
3	9400001	59	0.157333
3	9500001	56	0.149333
3	9600001	55	0.146667
3	9700001	55	0.146667
3	9800001	56	0.149333
3	9900001	56	0.149333
