CHR	POS	COUNT	FREQUENCY
3	1	0	0
3	100001	0	0
3	200001	0	0
3	300001	0	0
3	400001	0	0
3	500001	0	0
3	600001	0	0
3	700001	0	0
3	800001	0	0
3	900001	0	0
3	1000001	4	0.08
3	1100001	4	0.08
3	1200001	4	0.08
3	1300001	4	0.08
3	1400001	4	0.08
3	1500001	4	0.08
3	1600001	4	0.08
3	1700001	5	0.1
3	1800001	5	0.1
3	1900001	5	0.1
3	2000001	5	0.1
3	2100001	5	0.1
3	2200001	5	0.1
3	2300001	7	0.14
3	2400001	7	0.14
3	2500001	7	0.14
3	2600001	7	0.14
3	2700001	7	0.14
3	2800001	7	0.14
3	2900001	7	0.14
3	3000001	7	0.14
3	3100001	7	0.14
3	3200001	7	0.14
3	3300001	7	0.14
3	3400001	7	0.14
3	3500001	7	0.14
3	3600001	7	0.14
3	3700001	7	0.14
3	3800001	8	0.16
3	3900001	11	0.22
3	4000001	11	0.22
3	4100001	11	0.22
3	4200001	11	0.22
3	4300001	11	0.22
3	4400001	11	0.22
3	4500001	11	0.22
3	4600001	12	0.24
3	4700001	12	0.24
3	4800001	12	0.24
3	4900001	12	0.24
3	5000001	12	0.24
3	5100001	12	0.24
3	5200001	10	0.2
3	5300001	10	0.2
3	5400001	10	0.2
3	5500001	11	0.22
3	5600001	11	0.22
3	5700001	11	0.22
3	5800001	11	0.22
3	5900001	11	0.22
3	6000001	12	0.24
3	6100001	12	0.24
3	6200001	18	0.36
3	6300001	18	0.36
3	6400001	18	0.36
3	6500001	18	0.36
3	6600001	18	0.36
3	6700001	18	0.36
3	6800001	17	0.34
3	6900001	17	0.34
3	7000001	17	0.34
3	7100001	17	0.34
3	7200001	17	0.34
3	7300001	17	0.34
3	7400001	17	0.34
3	7500001	17	0.34
3	7600001	17	0.34
3	7700001	17	0.34
3	7800001	17	0.34
3	7900001	17	0.34
3	8000001	17	0.34
3	8100001	17	0.34
3	8200001	15	0.3
3	8300001	15	0.3
3	8400001	15	0.3
3	8500001	14	0.28
3	8600001	14	0.28
3	8700001	14	0.28
3	8800001	14	0.28
3	8900001	14	0.28
3	9000001	14	0.28
3	9100001	14	0.28
3	9200001	14	0.28
3	9300001	14	0.28
3	9400001	13	0.26
3	9500001	11	0.22
3	9600001	11	0.22
3	9700001	11	0.22
3	9800001	11	0.22
3	9900001	11	0.22
3	10000001	11	0.22
3	10100001	11	0.22
3	10200001	11	0.22
3	10300001	11	0.22
3	10400001	11	0.22
3	10500001	11	0.22
3	10600001	11	0.22
3	10700001	11	0.22
3	10800001	11	0.22
3	10900001	11	0.22
3	11000001	11	0.22
3	11100001	11	0.22
3	11200001	11	0.22
3	11300001	11	0.22
3	11400001	11	0.22
3	11500001	11	0.22
3	11600001	11	0.22
3	11700001	11	0.22
