CHR	POS	COUNT	FREQUENCY
25	1	0	0
25	100001	0	0
25	200001	37	0.114198
25	300001	37	0.114198
25	400001	37	0.114198
25	500001	37	0.114198
25	600001	37	0.114198
25	700001	37	0.114198
25	800001	37	0.114198
25	900001	37	0.114198
25	1000001	37	0.114198
25	1100001	37	0.114198
25	1200001	37	0.114198
25	1300001	37	0.114198
25	1400001	42	0.12963
25	1500001	42	0.12963
25	1600001	42	0.12963
25	1700001	42	0.12963
25	1800001	42	0.12963
25	1900001	42	0.12963
25	2000001	42	0.12963
25	2100001	42	0.12963
25	2200001	42	0.12963
25	2300001	51	0.157407
25	2400001	51	0.157407
25	2500001	51	0.157407
25	2600001	51	0.157407
25	2700001	51	0.157407
25	2800001	51	0.157407
25	2900001	51	0.157407
25	3000001	51	0.157407
25	3100001	51	0.157407
25	3200001	51	0.157407
25	3300001	51	0.157407
25	3400001	51	0.157407
25	3500001	51	0.157407
25	3600001	51	0.157407
25	3700001	51	0.157407
25	3800001	52	0.160494
25	3900001	52	0.160494
25	4000001	52	0.160494
25	4100001	52	0.160494
25	4200001	53	0.16358
25	4300001	53	0.16358
25	4400001	54	0.166667
25	4500001	54	0.166667
25	4600001	53	0.16358
25	4700001	50	0.154321
25	4800001	50	0.154321
25	4900001	50	0.154321
25	5000001	50	0.154321
25	5100001	50	0.154321
25	5200001	50	0.154321
25	5300001	52	0.160494
25	5400001	52	0.160494
25	5500001	52	0.160494
25	5600001	52	0.160494
25	5700001	51	0.157407
25	5800001	51	0.157407
25	5900001	48	0.148148
25	6000001	48	0.148148
25	6100001	48	0.148148
25	6200001	47	0.145062
25	6300001	45	0.138889
25	6400001	45	0.138889
25	6500001	45	0.138889
25	6600001	45	0.138889
25	6700001	46	0.141975
25	6800001	46	0.141975
25	6900001	47	0.145062
25	7000001	46	0.141975
25	7100001	45	0.138889
25	7200001	47	0.145062
25	7300001	47	0.145062
25	7400001	50	0.154321
25	7500001	50	0.154321
25	7600001	50	0.154321
25	7700001	50	0.154321
25	7800001	50	0.154321
25	7900001	57	0.175926
25	8000001	56	0.17284
25	8100001	56	0.17284
25	8200001	59	0.182099
25	8300001	58	0.179012
25	8400001	58	0.179012
25	8500001	58	0.179012
25	8600001	57	0.175926
25	8700001	61	0.188272
25	8800001	61	0.188272
25	8900001	62	0.191358
25	9000001	61	0.188272
25	9100001	62	0.191358
25	9200001	62	0.191358
25	9300001	61	0.188272
25	9400001	61	0.188272
25	9500001	61	0.188272
25	9600001	61	0.188272
25	9700001	61	0.188272
25	9800001	61	0.188272
25	9900001	61	0.188272
25	10000001	60	0.185185
25	10100001	60	0.185185
25	10200001	59	0.182099
25	10300001	60	0.185185
25	10400001	58	0.179012
25	10500001	59	0.182099
25	10600001	55	0.169753
25	10700001	55	0.169753
25	10800001	54	0.166667
25	10900001	51	0.157407
25	11000001	55	0.169753
25	11100001	55	0.169753
25	11200001	46	0.141975
25	11300001	47	0.145062
25	11400001	47	0.145062
25	11500001	47	0.145062
25	11600001	47	0.145062
25	11700001	46	0.141975
25	11800001	54	0.166667
25	11900001	56	0.17284
25	12000001	54	0.166667
25	12100001	53	0.16358
25	12200001	51	0.157407
25	12300001	53	0.16358
25	12400001	53	0.16358
25	12500001	54	0.166667
25	12600001	54	0.166667
25	12700001	56	0.17284
25	12800001	56	0.17284
25	12900001	55	0.169753
25	13000001	57	0.175926
25	13100001	57	0.175926
25	13200001	57	0.175926
25	13300001	57	0.175926
25	13400001	57	0.175926
25	13500001	62	0.191358
25	13600001	60	0.185185
25	13700001	59	0.182099
25	13800001	59	0.182099
25	13900001	65	0.200617
25	14000001	65	0.200617
25	14100001	65	0.200617
25	14200001	64	0.197531
25	14300001	67	0.20679
25	14400001	67	0.20679
25	14500001	70	0.216049
25	14600001	70	0.216049
25	14700001	70	0.216049
25	14800001	70	0.216049
25	14900001	67	0.20679
25	15000001	67	0.20679
25	15100001	65	0.200617
25	15200001	68	0.209877
25	15300001	70	0.216049
25	15400001	67	0.20679
25	15500001	66	0.203704
25	15600001	67	0.20679
25	15700001	64	0.197531
25	15800001	64	0.197531
25	15900001	64	0.197531
25	16000001	65	0.200617
25	16100001	65	0.200617
25	16200001	76	0.234568
25	16300001	71	0.219136
25	16400001	72	0.222222
