CHR	POS	COUNT	FREQUENCY
3	1	0	0
3	100001	36	0.18
3	200001	36	0.18
3	300001	36	0.18
3	400001	36	0.18
3	500001	37	0.185
3	600001	37	0.185
3	700001	37	0.185
3	800001	39	0.195
3	900001	39	0.195
3	1000001	40	0.2
3	1100001	40	0.2
3	1200001	41	0.205
3	1300001	41	0.205
3	1400001	48	0.24
3	1500001	48	0.24
3	1600001	40	0.2
3	1700001	40	0.2
3	1800001	43	0.215
3	1900001	43	0.215
3	2000001	51	0.255
3	2100001	45	0.225
3	2200001	45	0.225
3	2300001	49	0.245
3	2400001	48	0.24
3	2500001	49	0.245
3	2600001	52	0.26
3	2700001	52	0.26
3	2800001	50	0.25
3	2900001	49	0.245
3	3000001	48	0.24
3	3100001	48	0.24
3	3200001	49	0.245
3	3300001	42	0.21
3	3400001	42	0.21
3	3500001	39	0.195
3	3600001	46	0.23
3	3700001	46	0.23
3	3800001	47	0.235
3	3900001	46	0.23
3	4000001	46	0.23
3	4100001	46	0.23
3	4200001	46	0.23
3	4300001	46	0.23
3	4400001	46	0.23
3	4500001	50	0.25
3	4600001	47	0.235
3	4700001	35	0.175
3	4800001	33	0.165
3	4900001	33	0.165
3	5000001	33	0.165
3	5100001	28	0.14
3	5200001	28	0.14
3	5300001	27	0.135
3	5400001	29	0.145
3	5500001	28	0.14
3	5600001	23	0.115
3	5700001	24	0.12
3	5800001	24	0.12
3	5900001	28	0.14
3	6000001	27	0.135
3	6100001	27	0.135
3	6200001	26	0.13
3	6300001	24	0.12
3	6400001	25	0.125
3	6500001	25	0.125
3	6600001	26	0.13
3	6700001	25	0.125
3	6800001	25	0.125
3	6900001	29	0.145
3	7000001	28	0.14
3	7100001	25	0.125
3	7200001	26	0.13
3	7300001	25	0.125
3	7400001	25	0.125
3	7500001	26	0.13
3	7600001	25	0.125
3	7700001	24	0.12
3	7800001	24	0.12
3	7900001	24	0.12
3	8000001	24	0.12
3	8100001	24	0.12
3	8200001	28	0.14
3	8300001	28	0.14
3	8400001	28	0.14
3	8500001	26	0.13
3	8600001	24	0.12
3	8700001	24	0.12
3	8800001	21	0.105
3	8900001	23	0.115
3	9000001	23	0.115
3	9100001	23	0.115
3	9200001	24	0.12
3	9300001	24	0.12
3	9400001	23	0.115
3	9500001	24	0.12
3	9600001	24	0.12
3	9700001	29	0.145
3	9800001	25	0.125
3	9900001	27	0.135
3	10000001	28	0.14
3	10100001	29	0.145
3	10200001	36	0.18
3	10300001	36	0.18
3	10400001	34	0.17
3	10500001	37	0.185
3	10600001	37	0.185
3	10700001	35	0.175
3	10800001	35	0.175
3	10900001	35	0.175
3	11000001	34	0.17
3	11100001	32	0.16
3	11200001	37	0.185
3	11300001	37	0.185
3	11400001	36	0.18
3	11500001	37	0.185
3	11600001	40	0.2
3	11700001	39	0.195
3	11800001	38	0.19
3	11900001	38	0.19
3	12000001	40	0.2
3	12100001	43	0.215
3	12200001	41	0.205
3	12300001	39	0.195
3	12400001	42	0.21
3	12500001	42	0.21
3	12600001	43	0.215
3	12700001	43	0.215
3	12800001	50	0.25
3	12900001	50	0.25
3	13000001	47	0.235
3	13100001	46	0.23
3	13200001	44	0.22
