Sim_name	Avg_He
sim_1_selection_model_s07_chr3	NA
sim_2_selection_model_s07_chr3	NA
sim_3_selection_model_s07_chr3	0.111810359173333
sim_4_selection_model_s07_chr3	0.17199108055
sim_5_selection_model_s07_chr3	NA
sim_6_selection_model_s07_chr3	0.195635910277778
sim_7_selection_model_s07_chr3	NA
sim_8_selection_model_s07_chr3	0.21362688
sim_9_selection_model_s07_chr3	NA
sim_10_selection_model_s07_chr3	NA
sim_11_selection_model_s07_chr3	0.43664797225297
sim_12_selection_model_s07_chr3	0.283388652224537
sim_13_selection_model_s07_chr3	0.401530159625789
sim_14_selection_model_s07_chr3	NA
sim_15_selection_model_s07_chr3	0.47090791043569
sim_16_selection_model_s07_chr3	0.2447169359
sim_17_selection_model_s07_chr3	0.400736393741685
sim_18_selection_model_s07_chr3	0.445536111346908
sim_19_selection_model_s07_chr3	0.33377620081373
sim_20_selection_model_s07_chr3	NA
