CHR	POS	COUNT	FREQUENCY
9	1	0	0
9	100001	50	0.225225
9	200001	50	0.225225
9	300001	50	0.225225
9	400001	50	0.225225
9	500001	50	0.225225
9	600001	50	0.225225
9	700001	50	0.225225
9	800001	51	0.22973
9	900001	54	0.243243
9	1000001	61	0.274775
9	1100001	61	0.274775
9	1200001	61	0.274775
9	1300001	61	0.274775
9	1400001	61	0.274775
9	1500001	77	0.346847
9	1600001	74	0.333333
9	1700001	75	0.337838
9	1800001	74	0.333333
9	1900001	78	0.351351
9	2000001	76	0.342342
9	2100001	74	0.333333
9	2200001	74	0.333333
9	2300001	72	0.324324
9	2400001	72	0.324324
9	2500001	77	0.346847
9	2600001	77	0.346847
9	2700001	77	0.346847
9	2800001	77	0.346847
9	2900001	77	0.346847
9	3000001	77	0.346847
9	3100001	74	0.333333
9	3200001	57	0.256757
9	3300001	56	0.252252
9	3400001	56	0.252252
9	3500001	56	0.252252
9	3600001	57	0.256757
9	3700001	55	0.247748
9	3800001	56	0.252252
9	3900001	54	0.243243
9	4000001	55	0.247748
9	4100001	46	0.207207
9	4200001	46	0.207207
9	4300001	46	0.207207
9	4400001	47	0.211712
9	4500001	48	0.216216
9	4600001	48	0.216216
9	4700001	52	0.234234
9	4800001	60	0.27027
9	4900001	60	0.27027
9	5000001	69	0.310811
9	5100001	62	0.279279
9	5200001	62	0.279279
9	5300001	62	0.279279
9	5400001	62	0.279279
9	5500001	62	0.279279
9	5600001	62	0.279279
9	5700001	62	0.279279
9	5800001	57	0.256757
9	5900001	59	0.265766
9	6000001	57	0.256757
9	6100001	47	0.211712
9	6200001	41	0.184685
9	6300001	41	0.184685
9	6400001	41	0.184685
9	6500001	41	0.184685
9	6600001	35	0.157658
9	6700001	30	0.135135
9	6800001	31	0.13964
9	6900001	33	0.148649
9	7000001	33	0.148649
9	7100001	33	0.148649
9	7200001	33	0.148649
9	7300001	33	0.148649
9	7400001	33	0.148649
9	7500001	34	0.153153
9	7600001	34	0.153153
9	7700001	34	0.153153
9	7800001	34	0.153153
9	7900001	31	0.13964
9	8000001	31	0.13964
9	8100001	30	0.135135
