CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
3	67200001	288	0.778378	100	[67200001,67300000]
3	67300001	289	0.781081	200	[67300001,67500000]
3	67500001	292	0.789189	100	[67500001,67600000]
3	67600001	293	0.791892	100	[67600001,67700000]
3	67700001	309	0.835135	100	[67700001,67800000]
3	68400001	285	0.77027	200	[68400001,68600000]
3	68600001	284	0.767568	200	[68600001,68800000]
3	68800001	285	0.77027	100	[68800001,68900000]
3	67300000	288	0.778378	100	[67200001,67300000]
3	67500000	289	0.781081	200	[67300001,67500000]
3	67600000	292	0.789189	100	[67500001,67600000]
3	67700000	293	0.791892	100	[67600001,67700000]
3	67800000	309	0.835135	100	[67700001,67800000]
3	68600000	285	0.77027	200	[68400001,68600000]
3	68800000	284	0.767568	200	[68600001,68800000]
3	68900000	285	0.77027	100	[68800001,68900000]
