CHR	POS	COUNT	FREQUENCY
21	1	0	0
21	100001	59	0.265766
21	200001	59	0.265766
21	300001	59	0.265766
21	400001	59	0.265766
21	500001	59	0.265766
21	600001	59	0.265766
21	700001	59	0.265766
21	800001	59	0.265766
21	900001	59	0.265766
21	1000001	62	0.279279
21	1100001	62	0.279279
21	1200001	62	0.279279
21	1300001	64	0.288288
21	1400001	64	0.288288
21	1500001	71	0.31982
21	1600001	71	0.31982
21	1700001	72	0.324324
21	1800001	72	0.324324
21	1900001	72	0.324324
21	2000001	72	0.324324
21	2100001	72	0.324324
21	2200001	72	0.324324
21	2300001	75	0.337838
21	2400001	75	0.337838
21	2500001	75	0.337838
21	2600001	75	0.337838
21	2700001	75	0.337838
21	2800001	75	0.337838
21	2900001	75	0.337838
21	3000001	75	0.337838
21	3100001	75	0.337838
21	3200001	81	0.364865
21	3300001	81	0.364865
21	3400001	81	0.364865
21	3500001	81	0.364865
21	3600001	81	0.364865
21	3700001	80	0.36036
21	3800001	80	0.36036
21	3900001	72	0.324324
21	4000001	68	0.306306
21	4100001	70	0.315315
21	4200001	70	0.315315
21	4300001	70	0.315315
21	4400001	70	0.315315
21	4500001	68	0.306306
21	4600001	68	0.306306
21	4700001	67	0.301802
21	4800001	76	0.342342
21	4900001	75	0.337838
21	5000001	76	0.342342
21	5100001	76	0.342342
21	5200001	76	0.342342
21	5300001	76	0.342342
21	5400001	76	0.342342
21	5500001	76	0.342342
21	5600001	76	0.342342
21	5700001	76	0.342342
21	5800001	77	0.346847
21	5900001	76	0.342342
21	6000001	76	0.342342
21	6100001	75	0.337838
21	6200001	74	0.333333
21	6300001	77	0.346847
21	6400001	72	0.324324
21	6500001	72	0.324324
21	6600001	60	0.27027
21	6700001	60	0.27027
21	6800001	57	0.256757
21	6900001	54	0.243243
21	7000001	58	0.261261
21	7100001	56	0.252252
21	7200001	58	0.261261
21	7300001	58	0.261261
21	7400001	58	0.261261
21	7500001	58	0.261261
21	7600001	58	0.261261
21	7700001	58	0.261261
21	7800001	58	0.261261
21	7900001	60	0.27027
21	8000001	60	0.27027
21	8100001	60	0.27027
21	8200001	60	0.27027
21	8300001	57	0.256757
21	8400001	58	0.261261
21	8500001	57	0.256757
21	8600001	57	0.256757
21	8700001	57	0.256757
21	8800001	57	0.256757
21	8900001	57	0.256757
21	9000001	57	0.256757
21	9100001	56	0.252252
21	9200001	56	0.252252
21	9300001	57	0.256757
21	9400001	56	0.252252
21	9500001	58	0.261261
21	9600001	58	0.261261
21	9700001	58	0.261261
21	9800001	54	0.243243
21	9900001	54	0.243243
21	10000001	54	0.243243
21	10100001	54	0.243243
21	10200001	53	0.238739
21	10300001	53	0.238739
21	10400001	53	0.238739
21	10500001	55	0.247748
21	10600001	55	0.247748
21	10700001	55	0.247748
21	10800001	53	0.238739
21	10900001	53	0.238739
21	11000001	53	0.238739
21	11100001	54	0.243243
21	11200001	45	0.202703
21	11300001	47	0.211712
21	11400001	46	0.207207
21	11500001	46	0.207207
21	11600001	40	0.18018
21	11700001	52	0.234234
21	11800001	57	0.256757
21	11900001	57	0.256757
21	12000001	57	0.256757
21	12100001	61	0.274775
21	12200001	60	0.27027
21	12300001	57	0.256757
21	12400001	59	0.265766
21	12500001	59	0.265766
21	12600001	59	0.265766
21	12700001	57	0.256757
21	12800001	58	0.261261
21	12900001	59	0.265766
21	13000001	61	0.274775
21	13100001	72	0.324324
21	13200001	73	0.328829
21	13300001	71	0.31982
21	13400001	68	0.306306
21	13500001	71	0.31982
21	13600001	69	0.310811
21	13700001	70	0.315315
21	13800001	70	0.315315
21	13900001	70	0.315315
21	14000001	70	0.315315
21	14100001	69	0.310811
21	14200001	68	0.306306
21	14300001	68	0.306306
21	14400001	68	0.306306
21	14500001	62	0.279279
21	14600001	61	0.274775
21	14700001	60	0.27027
21	14800001	60	0.27027
21	14900001	77	0.346847
21	15000001	64	0.288288
21	15100001	59	0.265766
21	15200001	56	0.252252
21	15300001	56	0.252252
21	15400001	54	0.243243
21	15500001	53	0.238739
21	15600001	54	0.243243
21	15700001	54	0.243243
21	15800001	56	0.252252
21	15900001	57	0.256757
21	16000001	58	0.261261
21	16100001	58	0.261261
21	16200001	58	0.261261
21	16300001	55	0.247748
21	16400001	58	0.261261
21	16500001	55	0.247748
21	16600001	53	0.238739
21	16700001	53	0.238739
21	16800001	52	0.234234
21	16900001	53	0.238739
21	17000001	53	0.238739
21	17100001	53	0.238739
21	17200001	54	0.243243
21	17300001	53	0.238739
21	17400001	53	0.238739
21	17500001	38	0.171171
21	17600001	38	0.171171
21	17700001	39	0.175676
21	17800001	39	0.175676
21	17900001	41	0.184685
21	18000001	41	0.184685
21	18100001	41	0.184685
21	18200001	41	0.184685
21	18300001	41	0.184685
21	18400001	41	0.184685
21	18500001	38	0.171171
21	18600001	41	0.184685
21	18700001	41	0.184685
21	18800001	41	0.184685
21	18900001	40	0.18018
21	19000001	39	0.175676
21	19100001	34	0.153153
21	19200001	33	0.148649
21	19300001	33	0.148649
21	19400001	33	0.148649
21	19500001	33	0.148649
21	19600001	34	0.153153
21	19700001	34	0.153153
21	19800001	34	0.153153
21	19900001	35	0.157658
21	20000001	38	0.171171
21	20100001	41	0.184685
21	20200001	41	0.184685
21	20300001	41	0.184685
21	20400001	41	0.184685
21	20500001	41	0.184685
21	20600001	41	0.184685
21	20700001	42	0.189189
21	20800001	42	0.189189
21	20900001	42	0.189189
21	21000001	42	0.189189
21	21100001	42	0.189189
21	21200001	43	0.193694
21	21300001	46	0.207207
21	21400001	46	0.207207
21	21500001	46	0.207207
21	21600001	44	0.198198
21	21700001	44	0.198198
21	21800001	38	0.171171
21	21900001	38	0.171171
21	22000001	38	0.171171
21	22100001	52	0.234234
21	22200001	52	0.234234
21	22300001	52	0.234234
21	22400001	50	0.225225
21	22500001	51	0.22973
21	22600001	56	0.252252
21	22700001	56	0.252252
21	22800001	56	0.252252
21	22900001	58	0.261261
21	23000001	58	0.261261
21	23100001	57	0.256757
21	23200001	40	0.18018
21	23300001	41	0.184685
21	23400001	41	0.184685
21	23500001	41	0.184685
21	23600001	40	0.18018
21	23700001	40	0.18018
21	23800001	40	0.18018
21	23900001	42	0.189189
21	24000001	43	0.193694
