CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
28	24100001	146	0.657658	100	[24100001,24200000]
28	24200001	164	0.738739	200	[24200001,24400000]
28	24400001	165	0.743243	100	[24400001,24500000]
28	24500001	169	0.761261	100	[24500001,24600000]
28	24600001	181	0.815315	100	[24600001,24700000]
28	24700001	174	0.783784	100	[24700001,24800000]
28	24800001	181	0.815315	300	[24800001,25100000]
28	25100001	180	0.810811	100	[25100001,25200000]
28	25200001	143	0.644144	100	[25200001,25300000]
28	25300001	151	0.68018	100	[25300001,25400000]
28	25400001	150	0.675676	100	[25400001,25500000]
28	24200000	146	0.657658	100	[24100001,24200000]
28	24400000	164	0.738739	200	[24200001,24400000]
28	24500000	165	0.743243	100	[24400001,24500000]
28	24600000	169	0.761261	100	[24500001,24600000]
28	24700000	181	0.815315	100	[24600001,24700000]
28	24800000	174	0.783784	100	[24700001,24800000]
28	25100000	181	0.815315	300	[24800001,25100000]
28	25200000	180	0.810811	100	[25100001,25200000]
28	25300000	143	0.644144	100	[25200001,25300000]
28	25400000	151	0.68018	100	[25300001,25400000]
28	25500000	150	0.675676	100	[25400001,25500000]
