CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
3	9900001	16	0.32	200	[9900001,10100000]
3	13200001	17	0.34	700	[13200001,13900000]
3	13900001	20	0.4	700	[13900001,14600000]
3	14600001	19	0.38	100	[14600001,14700000]
3	14700001	21	0.42	1400	[14700001,16100000]
3	16100001	18	0.36	200	[16100001,16300000]
3	16300001	16	0.32	500	[16300001,16800000]
3	16800001	18	0.36	1000	[16800001,17800000]
3	17800001	17	0.34	1100	[17800001,18900000]
3	18900001	16	0.32	800	[18900001,19700000]
3	28300001	16	0.32	500	[28300001,28800000]
3	28800001	17	0.34	500	[28800001,29300000]
3	29300001	18	0.36	300	[29300001,29600000]
3	29600001	21	0.42	400	[29600001,30000000]
3	30000001	22	0.44	1600	[30000001,31600000]
3	31600001	20	0.4	100	[31600001,31700000]
3	31700001	19	0.38	100	[31700001,31800000]
3	31800001	18	0.36	300	[31800001,32100000]
3	32100001	17	0.34	600	[32100001,32700000]
3	32700001	18	0.36	100	[32700001,32800000]
3	32800001	17	0.34	100	[32800001,32900000]
3	32900001	18	0.36	1200	[32900001,34100000]
3	34100001	16	0.32	400	[34100001,34500000]
3	35600001	16	0.32	100	[35600001,35700000]
3	35700001	17	0.34	200	[35700001,35900000]
3	35900001	16	0.32	100	[35900001,36000000]
3	36200001	17	0.34	100	[36200001,36300000]
3	36300001	16	0.32	2100	[36300001,38400000]
3	38400001	17	0.34	300	[38400001,38700000]
3	38700001	18	0.36	900	[38700001,39600000]
3	39600001	20	0.4	100	[39600001,39700000]
3	39700001	17	0.34	1000	[39700001,40700000]
3	40700001	16	0.32	700	[40700001,41400000]
3	42100001	21	0.42	800	[42100001,42900000]
3	42900001	22	0.44	200	[42900001,43100000]
3	43100001	19	0.38	700	[43100001,43800000]
3	43800001	16	0.32	100	[43800001,43900000]
3	43900001	17	0.34	1400	[43900001,45300000]
3	73100001	16	0.32	300	[73100001,73400000]
3	73400001	17	0.34	100	[73400001,73500000]
3	73500001	16	0.32	500	[73500001,74000000]
3	74100001	16	0.32	500	[74100001,74600000]
3	74900001	17	0.34	600	[74900001,75500000]
3	75500001	16	0.32	600	[75500001,76100000]
3	76100001	17	0.34	300	[76100001,76400000]
3	77400001	16	0.32	500	[77400001,77900000]
3	10100000	16	0.32	200	[9900001,10100000]
3	13900000	17	0.34	700	[13200001,13900000]
3	14600000	20	0.4	700	[13900001,14600000]
3	14700000	19	0.38	100	[14600001,14700000]
3	16100000	21	0.42	1400	[14700001,16100000]
3	16300000	18	0.36	200	[16100001,16300000]
3	16800000	16	0.32	500	[16300001,16800000]
3	17800000	18	0.36	1000	[16800001,17800000]
3	18900000	17	0.34	1100	[17800001,18900000]
3	19700000	16	0.32	800	[18900001,19700000]
3	28800000	16	0.32	500	[28300001,28800000]
3	29300000	17	0.34	500	[28800001,29300000]
3	29600000	18	0.36	300	[29300001,29600000]
3	30000000	21	0.42	400	[29600001,30000000]
3	31600000	22	0.44	1600	[30000001,31600000]
3	31700000	20	0.4	100	[31600001,31700000]
3	31800000	19	0.38	100	[31700001,31800000]
3	32100000	18	0.36	300	[31800001,32100000]
3	32700000	17	0.34	600	[32100001,32700000]
3	32800000	18	0.36	100	[32700001,32800000]
3	32900000	17	0.34	100	[32800001,32900000]
3	34100000	18	0.36	1200	[32900001,34100000]
3	34500000	16	0.32	400	[34100001,34500000]
3	35700000	16	0.32	100	[35600001,35700000]
3	35900000	17	0.34	200	[35700001,35900000]
3	36000000	16	0.32	100	[35900001,36000000]
3	36300000	17	0.34	100	[36200001,36300000]
3	38400000	16	0.32	2100	[36300001,38400000]
3	38700000	17	0.34	300	[38400001,38700000]
3	39600000	18	0.36	900	[38700001,39600000]
3	39700000	20	0.4	100	[39600001,39700000]
3	40700000	17	0.34	1000	[39700001,40700000]
3	41400000	16	0.32	700	[40700001,41400000]
3	42900000	21	0.42	800	[42100001,42900000]
3	43100000	22	0.44	200	[42900001,43100000]
3	43800000	19	0.38	700	[43100001,43800000]
3	43900000	16	0.32	100	[43800001,43900000]
3	45300000	17	0.34	1400	[43900001,45300000]
3	73400000	16	0.32	300	[73100001,73400000]
3	73500000	17	0.34	100	[73400001,73500000]
3	74000000	16	0.32	500	[73500001,74000000]
3	74600000	16	0.32	500	[74100001,74600000]
3	75500000	17	0.34	600	[74900001,75500000]
3	76100000	16	0.32	600	[75500001,76100000]
3	76400000	17	0.34	300	[76100001,76400000]
3	77900000	16	0.32	500	[77400001,77900000]
