#Chromosome	Length(bp)	Length(KB)	Markers	SNP_density(Mb)
1	122244432	122244	4437	36.29
2	85006234	85006	3148	37.03
3	91857950	91857	2951	32.12
4	88025528	88025	2968	33.71
5	88720695	88720	2455	27.67
6	77222727	77222	2862	37.06
7	80844934	80844	2959	36.60
8	73331251	73331	2596	35.40
9	61030064	61030	1832	30.01
10	68913302	68913	2364	34.30
11	74127200	74127	2347	31.66
12	72428913	72428	2545	35.14
13	62987575	62987	2398	38.07
14	60761097	60761	2296	37.78
15	63553064	63553	1725	27.14
16	58670957	58670	2088	35.58
17	63643600	63643	1989	31.25
18	55698296	55698	2095	37.61
19	53203435	53203	1805	33.92
20	58095605	58095	2334	40.17
21	50622171	50622	1719	33.95
22	61255722	61255	2207	36.03
23	52091374	52091	2193	42.10
24	47579210	47579	1939	40.76
25	51374082	51374	2165	42.14
26	38930817	38930	1456	37.40
27	45605868	45605	1638	35.92
28	40983861	40983	1619	39.50
29	41724766	41724	1560	37.39
30	40195241	40195	1582	39.36
31	39499025	39499	1412	35.75
32	38405529	38405	1225	31.90
33	31361171	31361	1165	37.14
34	41914684	41914	1455	34.71
35	26425891	26425	1213	45.91
36	30767778	30767	1159	37.67
37	30727317	30727	1195	38.89
38	23875669	23875	992	41.55
