CHR	POS	COUNT	FREQUENCY	Length_Mb	Hotspot_interval
6	23600001	147	0.662162	1.4	[23600001,25000000]
6	23700001	147	0.662162	1.4	[23600001,25000000]
6	23800001	147	0.662162	1.4	[23600001,25000000]
6	23900001	147	0.662162	1.4	[23600001,25000000]
6	24000001	147	0.662162	1.4	[23600001,25000000]
6	24100001	147	0.662162	1.4	[23600001,25000000]
6	24200001	147	0.662162	1.4	[23600001,25000000]
6	24300001	147	0.662162	1.4	[23600001,25000000]
6	24400001	146	0.657658	1.4	[23600001,25000000]
6	24500001	146	0.657658	1.4	[23600001,25000000]
6	24600001	146	0.657658	1.4	[23600001,25000000]
6	24700001	146	0.657658	1.4	[23600001,25000000]
6	24800001	154	0.693694	1.4	[23600001,25000000]
6	24900001	124	0.558559	1.4	[23600001,25000000]
6	23700000	147	0.662162	1.4	[23600001,25000000]
6	23800000	147	0.662162	1.4	[23600001,25000000]
6	23900000	147	0.662162	1.4	[23600001,25000000]
6	24000000	147	0.662162	1.4	[23600001,25000000]
6	24100000	147	0.662162	1.4	[23600001,25000000]
6	24200000	147	0.662162	1.4	[23600001,25000000]
6	24300000	147	0.662162	1.4	[23600001,25000000]
6	24400000	147	0.662162	1.4	[23600001,25000000]
6	24500000	146	0.657658	1.4	[23600001,25000000]
6	24600000	146	0.657658	1.4	[23600001,25000000]
6	24700000	146	0.657658	1.4	[23600001,25000000]
6	24800000	146	0.657658	1.4	[23600001,25000000]
6	24900000	154	0.693694	1.4	[23600001,25000000]
6	25000000	124	0.558559	1.4	[23600001,25000000]
