CHR	POS	COUNT	FREQUENCY
3	1	0	0
3	100001	78	0.210811
3	200001	82	0.221622
3	300001	100	0.27027
3	400001	100	0.27027
3	500001	102	0.275676
3	600001	109	0.294595
3	700001	114	0.308108
3	800001	117	0.316216
3	900001	137	0.37027
3	1000001	119	0.321622
3	1100001	114	0.308108
3	1200001	124	0.335135
3	1300001	111	0.3
3	1400001	112	0.302703
3	1500001	114	0.308108
3	1600001	114	0.308108
3	1700001	114	0.308108
3	1800001	103	0.278378
3	1900001	105	0.283784
3	2000001	106	0.286486
3	2100001	75	0.202703
3	2200001	79	0.213514
3	2300001	81	0.218919
3	2400001	73	0.197297
3	2500001	72	0.194595
3	2600001	76	0.205405
3	2700001	80	0.216216
3	2800001	79	0.213514
3	2900001	81	0.218919
3	3000001	107	0.289189
3	3100001	102	0.275676
3	3200001	98	0.264865
3	3300001	100	0.27027
3	3400001	95	0.256757
3	3500001	94	0.254054
3	3600001	86	0.232432
3	3700001	94	0.254054
3	3800001	110	0.297297
3	3900001	113	0.305405
3	4000001	110	0.297297
3	4100001	110	0.297297
3	4200001	79	0.213514
3	4300001	79	0.213514
3	4400001	83	0.224324
3	4500001	76	0.205405
3	4600001	76	0.205405
3	4700001	74	0.2
3	4800001	69	0.186486
3	4900001	66	0.178378
3	5000001	53	0.143243
3	5100001	50	0.135135
3	5200001	43	0.116216
3	5300001	42	0.113514
3	5400001	41	0.110811
3	5500001	43	0.116216
3	5600001	51	0.137838
3	5700001	49	0.132432
3	5800001	56	0.151351
3	5900001	57	0.154054
3	6000001	61	0.164865
3	6100001	69	0.186486
3	6200001	71	0.191892
3	6300001	72	0.194595
3	6400001	75	0.202703
3	6500001	94	0.254054
3	6600001	95	0.256757
3	6700001	93	0.251351
3	6800001	104	0.281081
3	6900001	104	0.281081
3	7000001	98	0.264865
3	7100001	96	0.259459
3	7200001	95	0.256757
3	7300001	96	0.259459
3	7400001	91	0.245946
3	7500001	94	0.254054
3	7600001	107	0.289189
3	7700001	93	0.251351
3	7800001	97	0.262162
3	7900001	96	0.259459
3	8000001	77	0.208108
3	8100001	92	0.248649
3	8200001	95	0.256757
3	8300001	87	0.235135
3	8400001	87	0.235135
3	8500001	88	0.237838
3	8600001	88	0.237838
3	8700001	89	0.240541
3	8800001	83	0.224324
3	8900001	81	0.218919
3	9000001	76	0.205405
3	9100001	70	0.189189
3	9200001	65	0.175676
3	9300001	57	0.154054
3	9400001	59	0.159459
3	9500001	55	0.148649
3	9600001	59	0.159459
3	9700001	59	0.159459
3	9800001	59	0.159459
3	9900001	64	0.172973
3	10000001	62	0.167568
3	10100001	65	0.175676
3	10200001	68	0.183784
3	10300001	69	0.186486
3	10400001	71	0.191892
3	10500001	73	0.197297
3	10600001	73	0.197297
3	10700001	77	0.208108
3	10800001	72	0.194595
3	10900001	74	0.2
3	11000001	68	0.183784
3	11100001	65	0.175676
3	11200001	57	0.154054
3	11300001	68	0.183784
3	11400001	65	0.175676
3	11500001	67	0.181081
3	11600001	67	0.181081
3	11700001	63	0.17027
3	11800001	62	0.167568
3	11900001	69	0.186486
3	12000001	80	0.216216
3	12100001	74	0.2
3	12200001	68	0.183784
3	12300001	71	0.191892
3	12400001	72	0.194595
3	12500001	72	0.194595
3	12600001	66	0.178378
3	12700001	71	0.191892
3	12800001	73	0.197297
3	12900001	73	0.197297
3	13000001	71	0.191892
3	13100001	64	0.172973
3	13200001	68	0.183784
3	13300001	61	0.164865
3	13400001	60	0.162162
3	13500001	86	0.232432
3	13600001	86	0.232432
3	13700001	89	0.240541
3	13800001	83	0.224324
3	13900001	100	0.27027
3	14000001	101	0.272973
3	14100001	99	0.267568
3	14200001	101	0.272973
3	14300001	106	0.286486
3	14400001	94	0.254054
3	14500001	93	0.251351
3	14600001	90	0.243243
3	14700001	89	0.240541
3	14800001	103	0.278378
3	14900001	101	0.272973
3	15000001	71	0.191892
3	15100001	71	0.191892
3	15200001	66	0.178378
3	15300001	69	0.186486
3	15400001	89	0.240541
