CHR	POS	COUNT	FREQUENCY
13	1	0	0
13	100001	0	0
13	200001	75	0.231481
13	300001	75	0.231481
13	400001	75	0.231481
13	500001	75	0.231481
13	600001	75	0.231481
13	700001	80	0.246914
13	800001	80	0.246914
13	900001	80	0.246914
13	1000001	80	0.246914
13	1100001	80	0.246914
13	1200001	80	0.246914
13	1300001	80	0.246914
13	1400001	80	0.246914
13	1500001	80	0.246914
13	1600001	80	0.246914
13	1700001	80	0.246914
13	1800001	80	0.246914
13	1900001	80	0.246914
13	2000001	80	0.246914
13	2100001	80	0.246914
13	2200001	80	0.246914
13	2300001	80	0.246914
13	2400001	80	0.246914
13	2500001	80	0.246914
13	2600001	80	0.246914
13	2700001	83	0.256173
13	2800001	78	0.240741
13	2900001	78	0.240741
13	3000001	63	0.194444
13	3100001	63	0.194444
13	3200001	63	0.194444
13	3300001	63	0.194444
13	3400001	63	0.194444
13	3500001	66	0.203704
13	3600001	66	0.203704
13	3700001	66	0.203704
13	3800001	66	0.203704
13	3900001	66	0.203704
13	4000001	66	0.203704
13	4100001	66	0.203704
13	4200001	66	0.203704
13	4300001	66	0.203704
13	4400001	65	0.200617
13	4500001	64	0.197531
13	4600001	64	0.197531
13	4700001	64	0.197531
13	4800001	65	0.200617
13	4900001	65	0.200617
13	5000001	72	0.222222
13	5100001	72	0.222222
13	5200001	72	0.222222
13	5300001	72	0.222222
13	5400001	72	0.222222
13	5500001	71	0.219136
13	5600001	73	0.225309
13	5700001	73	0.225309
13	5800001	75	0.231481
13	5900001	72	0.222222
13	6000001	73	0.225309
13	6100001	73	0.225309
13	6200001	73	0.225309
13	6300001	73	0.225309
13	6400001	73	0.225309
13	6500001	73	0.225309
13	6600001	73	0.225309
13	6700001	73	0.225309
13	6800001	73	0.225309
13	6900001	74	0.228395
13	7000001	74	0.228395
13	7100001	74	0.228395
13	7200001	74	0.228395
13	7300001	74	0.228395
13	7400001	74	0.228395
13	7500001	74	0.228395
13	7600001	74	0.228395
13	7700001	74	0.228395
13	7800001	73	0.225309
13	7900001	71	0.219136
13	8000001	72	0.222222
13	8100001	73	0.225309
13	8200001	73	0.225309
13	8300001	73	0.225309
13	8400001	73	0.225309
13	8500001	73	0.225309
13	8600001	74	0.228395
13	8700001	70	0.216049
13	8800001	76	0.234568
13	8900001	68	0.209877
13	9000001	68	0.209877
13	9100001	68	0.209877
13	9200001	68	0.209877
13	9300001	64	0.197531
13	9400001	64	0.197531
13	9500001	65	0.200617
13	9600001	65	0.200617
13	9700001	65	0.200617
13	9800001	67	0.20679
13	9900001	67	0.20679
13	10000001	66	0.203704
13	10100001	67	0.20679
