CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
19	26300001	248	0.765432	100	[26300001,26400000]
19	27200001	249	0.768519	300	[27200001,27500000]
19	27500001	250	0.771605	100	[27500001,27600000]
19	27600001	252	0.777778	200	[27600001,27800000]
19	27800001	253	0.780864	100	[27800001,27900000]
19	27900001	255	0.787037	100	[27900001,28000000]
19	28000001	256	0.790123	100	[28000001,28100000]
19	28100001	249	0.768519	100	[28100001,28200000]
19	28200001	248	0.765432	200	[28200001,28400000]
19	28400001	251	0.774691	200	[28400001,28600000]
19	28600001	250	0.771605	300	[28600001,28900000]
19	28900001	251	0.774691	100	[28900001,29000000]
19	29000001	247	0.762346	200	[29000001,29200000]
19	29200001	246	0.759259	100	[29200001,29300000]
19	29500001	245	0.756173	100	[29500001,29600000]
19	29600001	246	0.759259	100	[29600001,29700000]
19	30300001	247	0.762346	400	[30300001,30700000]
19	30700001	251	0.774691	200	[30700001,30900000]
19	26400000	248	0.765432	100	[26300001,26400000]
19	27500000	249	0.768519	300	[27200001,27500000]
19	27600000	250	0.771605	100	[27500001,27600000]
19	27800000	252	0.777778	200	[27600001,27800000]
19	27900000	253	0.780864	100	[27800001,27900000]
19	28000000	255	0.787037	100	[27900001,28000000]
19	28100000	256	0.790123	100	[28000001,28100000]
19	28200000	249	0.768519	100	[28100001,28200000]
19	28400000	248	0.765432	200	[28200001,28400000]
19	28600000	251	0.774691	200	[28400001,28600000]
19	28900000	250	0.771605	300	[28600001,28900000]
19	29000000	251	0.774691	100	[28900001,29000000]
19	29200000	247	0.762346	200	[29000001,29200000]
19	29300000	246	0.759259	100	[29200001,29300000]
19	29600000	245	0.756173	100	[29500001,29600000]
19	29700000	246	0.759259	100	[29600001,29700000]
19	30700000	247	0.762346	400	[30300001,30700000]
19	30900000	251	0.774691	200	[30700001,30900000]
