CHR,POS1,POS2,PHENE,PHENE_CATEGORY,SINGLE_GENE_TRAIT_OR_DISORDER,DISEASE_RELATED,GENE_SYMBOL,GENE_DESCRIPTION,PHENE_URL,GENE_DETAILS_URL,BREEDS
34,2048044,2053178,"Frizzle, KRT6A-related",Integument (skin) phene,yes,yes,KRT6A,keratin 6A,https://www.omia.org/OMIA000394/9031/,https://www.omia.org/gene388202905/,
,,,Resistance/susceptibility to mycoplasma pneumonia,Immune system phene,no,yes,,,https://www.omia.org/OMIA002661/9031/,,
,,,"Twinning, conjoined",Embryo phene,unknown,yes,,,https://www.omia.org/OMIA001023/9031/,,
1,65222023,65245482,"Eggshell colour, blue",Pigmentation phene,yes,no,SLCO1B3,,https://www.omia.org/OMIA000142/9031/,https://www.omia.org/gene389841194/,"VBO_0000445, VBO_0000517, VBO_0006672, VBO_0006532, VBO_0000559, VBO_0006723, VBO_0006725, VBO_0016867"
Z,12083396,12019506,"Ciliopathy, CPLANE1-related",Nervous system phene,yes,yes,CPLANE1,ciliogenesis and planar polarity effector 1,https://www.omia.org/OMIA002912/9031/,https://www.omia.org/gene398298970/,
,,,"Chromosomal abnormality, generic",Chromosomal disorder,no,yes,,,https://www.omia.org/OMIA002657/9031/,,
,,,"Eggshell colour, ABCG2-related",Pigmentation phene,unknown,no,,,https://www.omia.org/OMIA002589/9031/,,VBO_0006723
,,,Resistance/susceptibility to Marek disease virus,Immune system phene,no,yes,,,https://www.omia.org/OMIA002440/9031/,,
Z,31227860,31238589,"Feather colour, chocolate",Pigmentation phene,yes,no,TYRP1,tyrosinase-related protein 1,https://www.omia.org/OMIA001259/9031/,https://www.omia.org/gene388194278/,VBO_0000588
1,128695078,128671094,Blood group system D,Haematopoietic system phene,yes,no,CD99,CD99 molecule,https://www.omia.org/OMIA000122/9031/,https://www.omia.org/gene388210800/,
23,2749141,2755527,Blood group system I,Haematopoietic system phene,yes,no,RHCE,Rh blood group CcEe antigens,https://www.omia.org/OMIA000129/9031/,https://www.omia.org/gene398298946/,
7,4867111,4848100,"Feather colour, dilution, MLPH-related",Pigmentation phene,yes,no,MLPH,melanophilin,https://www.omia.org/OMIA001445/9031/,https://www.omia.org/gene43043018/,VBO_0006654
34,2014937,2022171,"Frizzle, KRT75L4-related",Integument (skin) phene,yes,no,KRT75L4,"keratin, type II cytoskeletal 75-like 4",https://www.omia.org/OMIA002486/9031/,https://www.omia.org/gene389511256/,"VBO_0016879, VBO_0016878"
,,,Leg weakness,Limbs / fins / digit / tail phene,unknown,yes,,,https://www.omia.org/OMIA000585/9031/,,
,,,Earlobe pigmentation,Pigmentation phene,no,no,,,https://www.omia.org/OMIA001696/9031/,,"VBO_0006699, VBO_0000599"
,,,"Ptilopody (Feathered shank), generic",Integument (skin) phene,unknown,no,,,https://www.omia.org/OMIA002843/9031/,,
