CHR	POS	COUNT	FREQUENCY	Length_Mb	Hotspot_interval
3	17500001	370	1	1.1	[17500001,18600000]
3	17600001	370	1	1.1	[17500001,18600000]
3	17700001	358	0.967568	1.1	[17500001,18600000]
3	17800001	358	0.967568	1.1	[17500001,18600000]
3	17900001	358	0.967568	1.1	[17500001,18600000]
3	18000001	358	0.967568	1.1	[17500001,18600000]
3	18100001	358	0.967568	1.1	[17500001,18600000]
3	18200001	358	0.967568	1.1	[17500001,18600000]
3	18300001	368	0.994595	1.1	[17500001,18600000]
3	18400001	368	0.994595	1.1	[17500001,18600000]
3	18500001	368	0.994595	1.1	[17500001,18600000]
3	21500001	370	1	2.1	[21500001,23600000]
3	21600001	370	1	2.1	[21500001,23600000]
3	21700001	370	1	2.1	[21500001,23600000]
3	21800001	370	1	2.1	[21500001,23600000]
3	21900001	370	1	2.1	[21500001,23600000]
3	22000001	370	1	2.1	[21500001,23600000]
3	22100001	370	1	2.1	[21500001,23600000]
3	22200001	370	1	2.1	[21500001,23600000]
3	22300001	370	1	2.1	[21500001,23600000]
3	22400001	370	1	2.1	[21500001,23600000]
3	22500001	370	1	2.1	[21500001,23600000]
3	22600001	370	1	2.1	[21500001,23600000]
3	22700001	370	1	2.1	[21500001,23600000]
3	22800001	370	1	2.1	[21500001,23600000]
3	22900001	370	1	2.1	[21500001,23600000]
3	23000001	370	1	2.1	[21500001,23600000]
3	23100001	370	1	2.1	[21500001,23600000]
3	23200001	370	1	2.1	[21500001,23600000]
3	23300001	370	1	2.1	[21500001,23600000]
3	23400001	370	1	2.1	[21500001,23600000]
3	23500001	370	1	2.1	[21500001,23600000]
3	17600000	370	1	1.1	[17500001,18600000]
3	17700000	370	1	1.1	[17500001,18600000]
3	17800000	358	0.967568	1.1	[17500001,18600000]
3	17900000	358	0.967568	1.1	[17500001,18600000]
3	18000000	358	0.967568	1.1	[17500001,18600000]
3	18100000	358	0.967568	1.1	[17500001,18600000]
3	18200000	358	0.967568	1.1	[17500001,18600000]
3	18300000	358	0.967568	1.1	[17500001,18600000]
3	18400000	368	0.994595	1.1	[17500001,18600000]
3	18500000	368	0.994595	1.1	[17500001,18600000]
3	18600000	368	0.994595	1.1	[17500001,18600000]
3	21600000	370	1	2.1	[21500001,23600000]
3	21700000	370	1	2.1	[21500001,23600000]
3	21800000	370	1	2.1	[21500001,23600000]
3	21900000	370	1	2.1	[21500001,23600000]
3	22000000	370	1	2.1	[21500001,23600000]
3	22100000	370	1	2.1	[21500001,23600000]
3	22200000	370	1	2.1	[21500001,23600000]
3	22300000	370	1	2.1	[21500001,23600000]
3	22400000	370	1	2.1	[21500001,23600000]
3	22500000	370	1	2.1	[21500001,23600000]
3	22600000	370	1	2.1	[21500001,23600000]
3	22700000	370	1	2.1	[21500001,23600000]
3	22800000	370	1	2.1	[21500001,23600000]
3	22900000	370	1	2.1	[21500001,23600000]
3	23000000	370	1	2.1	[21500001,23600000]
3	23100000	370	1	2.1	[21500001,23600000]
3	23200000	370	1	2.1	[21500001,23600000]
3	23300000	370	1	2.1	[21500001,23600000]
3	23400000	370	1	2.1	[21500001,23600000]
3	23500000	370	1	2.1	[21500001,23600000]
3	23600000	370	1	2.1	[21500001,23600000]
