CHR	POS	COUNT	FREQUENCY
3	1	0	0
3	100001	19	0.0513514
3	200001	21	0.0567568
3	300001	21	0.0567568
3	400001	23	0.0621622
3	500001	25	0.0675676
3	600001	27	0.072973
3	700001	28	0.0756757
3	800001	37	0.1
3	900001	38	0.102703
3	1000001	40	0.108108
3	1100001	44	0.118919
3	1200001	45	0.121622
3	1300001	49	0.132432
3	1400001	46	0.124324
3	1500001	47	0.127027
3	1600001	47	0.127027
3	1700001	47	0.127027
3	1800001	47	0.127027
3	1900001	50	0.135135
3	2000001	51	0.137838
3	2100001	51	0.137838
3	2200001	55	0.148649
3	2300001	54	0.145946
3	2400001	54	0.145946
3	2500001	52	0.140541
3	2600001	34	0.0918919
3	2700001	33	0.0891892
3	2800001	32	0.0864865
3	2900001	33	0.0891892
3	3000001	33	0.0891892
3	3100001	33	0.0891892
3	3200001	33	0.0891892
3	3300001	32	0.0864865
3	3400001	37	0.1
3	3500001	40	0.108108
3	3600001	45	0.121622
3	3700001	42	0.113514
3	3800001	42	0.113514
3	3900001	47	0.127027
3	4000001	49	0.132432
3	4100001	57	0.154054
3	4200001	58	0.156757
3	4300001	59	0.159459
3	4400001	59	0.159459
3	4500001	51	0.137838
3	4600001	50	0.135135
3	4700001	46	0.124324
3	4800001	47	0.127027
3	4900001	44	0.118919
3	5000001	57	0.154054
3	5100001	55	0.148649
3	5200001	54	0.145946
3	5300001	55	0.148649
3	5400001	54	0.145946
3	5500001	55	0.148649
3	5600001	58	0.156757
3	5700001	63	0.17027
3	5800001	65	0.175676
3	5900001	70	0.189189
3	6000001	72	0.194595
3	6100001	77	0.208108
3	6200001	74	0.2
3	6300001	81	0.218919
3	6400001	73	0.197297
3	6500001	75	0.202703
3	6600001	70	0.189189
3	6700001	65	0.175676
3	6800001	58	0.156757
3	6900001	58	0.156757
3	7000001	58	0.156757
3	7100001	60	0.162162
3	7200001	60	0.162162
3	7300001	60	0.162162
3	7400001	57	0.154054
3	7500001	58	0.156757
3	7600001	57	0.154054
3	7700001	58	0.156757
3	7800001	57	0.154054
3	7900001	54	0.145946
3	8000001	56	0.151351
3	8100001	59	0.159459
3	8200001	58	0.156757
3	8300001	58	0.156757
3	8400001	59	0.159459
3	8500001	52	0.140541
3	8600001	52	0.140541
3	8700001	51	0.137838
3	8800001	55	0.148649
3	8900001	55	0.148649
3	9000001	54	0.145946
3	9100001	55	0.148649
3	9200001	53	0.143243
3	9300001	53	0.143243
3	9400001	61	0.164865
3	9500001	69	0.186486
3	9600001	69	0.186486
3	9700001	75	0.202703
3	9800001	77	0.208108
3	9900001	77	0.208108
3	10000001	77	0.208108
3	10100001	77	0.208108
3	10200001	86	0.232432
3	10300001	90	0.243243
3	10400001	153	0.413514
3	10500001	149	0.402703
3	10600001	164	0.443243
3	10700001	170	0.459459
3	10800001	169	0.456757
3	10900001	171	0.462162
3	11000001	191	0.516216
3	11100001	191	0.516216
3	11200001	201	0.543243
3	11300001	211	0.57027
3	11400001	207	0.559459
3	11500001	207	0.559459
3	11600001	201	0.543243
3	11700001	202	0.545946
3	11800001	192	0.518919
3	11900001	193	0.521622
3	12000001	186	0.502703
3	12100001	188	0.508108
3	12200001	188	0.508108
3	12300001	186	0.502703
3	12400001	161	0.435135
3	12500001	148	0.4
3	12600001	147	0.397297
3	12700001	136	0.367568
3	12800001	125	0.337838
3	12900001	101	0.272973
3	13000001	98	0.264865
3	13100001	131	0.354054
3	13200001	138	0.372973
3	13300001	140	0.378378
3	13400001	210	0.567568
3	13500001	210	0.567568
3	13600001	214	0.578378
3	13700001	214	0.578378
3	13800001	214	0.578378
3	13900001	208	0.562162
3	14000001	209	0.564865
3	14100001	151	0.408108
3	14200001	149	0.402703
3	14300001	151	0.408108
3	14400001	149	0.402703
3	14500001	150	0.405405
3	14600001	157	0.424324
3	14700001	157	0.424324
3	14800001	164	0.443243
3	14900001	101	0.272973
3	15000001	97	0.262162
3	15100001	90	0.243243
3	15200001	89	0.240541
3	15300001	89	0.240541
3	15400001	88	0.237838
3	15500001	87	0.235135
3	15600001	69	0.186486
3	15700001	69	0.186486
3	15800001	62	0.167568
3	15900001	59	0.159459
3	16000001	49	0.132432
3	16100001	51	0.137838
3	16200001	44	0.118919
3	16300001	43	0.116216
3	16400001	45	0.121622
3	16500001	43	0.116216
3	16600001	46	0.124324
3	16700001	45	0.121622
3	16800001	47	0.127027
3	16900001	51	0.137838
3	17000001	65	0.175676
3	17100001	59	0.159459
3	17200001	74	0.2
3	17300001	77	0.208108
3	17400001	77	0.208108
3	17500001	77	0.208108
3	17600001	77	0.208108
3	17700001	79	0.213514
3	17800001	76	0.205405
3	17900001	73	0.197297
3	18000001	76	0.205405
3	18100001	78	0.210811
3	18200001	75	0.202703
3	18300001	68	0.183784
3	18400001	72	0.194595
3	18500001	72	0.194595
3	18600001	72	0.194595
3	18700001	53	0.143243
3	18800001	54	0.145946
3	18900001	59	0.159459
3	19000001	63	0.17027
3	19100001	62	0.167568
3	19200001	58	0.156757
3	19300001	51	0.137838
3	19400001	62	0.167568
3	19500001	63	0.17027
3	19600001	63	0.17027
3	19700001	62	0.167568
3	19800001	63	0.17027
3	19900001	64	0.172973
3	20000001	70	0.189189
3	20100001	73	0.197297
3	20200001	65	0.175676
3	20300001	65	0.175676
3	20400001	68	0.183784
3	20500001	68	0.183784
3	20600001	67	0.181081
3	20700001	63	0.17027
3	20800001	66	0.178378
3	20900001	66	0.178378
3	21000001	71	0.191892
3	21100001	75	0.202703
3	21200001	70	0.189189
3	21300001	73	0.197297
3	21400001	72	0.194595
3	21500001	68	0.183784
3	21600001	67	0.181081
3	21700001	70	0.189189
3	21800001	72	0.194595
3	21900001	71	0.191892
3	22000001	73	0.197297
3	22100001	76	0.205405
3	22200001	76	0.205405
3	22300001	85	0.22973
3	22400001	79	0.213514
3	22500001	68	0.183784
3	22600001	86	0.232432
3	22700001	86	0.232432
3	22800001	77	0.208108
3	22900001	78	0.210811
3	23000001	85	0.22973
3	23100001	85	0.22973
3	23200001	87	0.235135
3	23300001	122	0.32973
3	23400001	129	0.348649
3	23500001	129	0.348649
3	23600001	130	0.351351
3	23700001	120	0.324324
3	23800001	123	0.332432
3	23900001	114	0.308108
3	24000001	116	0.313514
3	24100001	114	0.308108
3	24200001	114	0.308108
3	24300001	109	0.294595
3	24400001	65	0.175676
3	24500001	68	0.183784
3	24600001	67	0.181081
3	24700001	72	0.194595
3	24800001	74	0.2
3	24900001	77	0.208108
3	25000001	83	0.224324
3	25100001	83	0.224324
3	25200001	88	0.237838
3	25300001	88	0.237838
3	25400001	88	0.237838
3	25500001	89	0.240541
3	25600001	89	0.240541
3	25700001	79	0.213514
3	25800001	78	0.210811
3	25900001	78	0.210811
3	26000001	76	0.205405
3	26100001	78	0.210811
3	26200001	78	0.210811
3	26300001	66	0.178378
3	26400001	62	0.167568
3	26500001	61	0.164865
3	26600001	58	0.156757
3	26700001	57	0.154054
3	26800001	56	0.151351
3	26900001	55	0.148649
3	27000001	55	0.148649
3	27100001	55	0.148649
3	27200001	58	0.156757
3	27300001	51	0.137838
3	27400001	54	0.145946
3	27500001	51	0.137838
3	27600001	40	0.108108
3	27700001	41	0.110811
3	27800001	41	0.110811
3	27900001	53	0.143243
3	28000001	54	0.145946
3	28100001	60	0.162162
3	28200001	59	0.159459
3	28300001	56	0.151351
3	28400001	58	0.156757
3	28500001	59	0.159459
3	28600001	55	0.148649
3	28700001	53	0.143243
3	28800001	60	0.162162
3	28900001	49	0.132432
3	29000001	54	0.145946
3	29100001	59	0.159459
3	29200001	59	0.159459
3	29300001	57	0.154054
3	29400001	57	0.154054
3	29500001	58	0.156757
3	29600001	58	0.156757
3	29700001	47	0.127027
3	29800001	50	0.135135
3	29900001	58	0.156757
3	30000001	59	0.159459
3	30100001	55	0.148649
3	30200001	46	0.124324
3	30300001	43	0.116216
3	30400001	42	0.113514
3	30500001	46	0.124324
3	30600001	41	0.110811
3	30700001	40	0.108108
3	30800001	40	0.108108
3	30900001	43	0.116216
3	31000001	49	0.132432
