CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
3	4400001	16	0.32	500	[4400001,4900000]
3	4900001	15	0.3	400	[4900001,5300000]
3	5300001	18	0.36	100	[5300001,5400000]
3	5400001	19	0.38	900	[5400001,6300000]
3	6300001	18	0.36	200	[6300001,6500000]
3	6500001	19	0.38	1200	[6500001,7700000]
3	7700001	20	0.4	1200	[7700001,8900000]
3	8900001	17	0.34	1100	[8900001,10000000]
3	10000001	21	0.42	600	[10000001,10600000]
3	10600001	20	0.4	400	[10600001,11000000]
3	11000001	21	0.42	500	[11000001,11500000]
3	11500001	22	0.44	100	[11500001,11600000]
3	11600001	21	0.42	400	[11600001,12000000]
3	12000001	20	0.4	200	[12000001,12200000]
3	12200001	19	0.38	500	[12200001,12700000]
3	12700001	17	0.34	400	[12700001,13100000]
3	13100001	18	0.36	200	[13100001,13300000]
3	13300001	15	0.3	500	[13300001,13800000]
3	20800001	15	0.3	900	[20800001,21700000]
3	22400001	15	0.3	100	[22400001,22500000]
3	25400001	16	0.32	400	[25400001,25800000]
3	25800001	15	0.3	2800	[25800001,28600000]
3	38700001	15	0.3	1100	[38700001,39800000]
3	39800001	18	0.36	1300	[39800001,41100000]
3	41100001	16	0.32	300	[41100001,41400000]
3	41400001	17	0.34	1200	[41400001,42600000]
3	50200001	15	0.3	600	[50200001,50800000]
3	73200001	15	0.3	800	[73200001,74000000]
3	75100001	15	0.3	1900	[75100001,77000000]
3	82400001	15	0.3	2200	[82400001,84600000]
3	88800001	16	0.32	100	[88800001,88900000]
3	88900001	18	0.36	3500	[88900001,92400000]
3	4900000	16	0.32	500	[4400001,4900000]
3	5300000	15	0.3	400	[4900001,5300000]
3	5400000	18	0.36	100	[5300001,5400000]
3	6300000	19	0.38	900	[5400001,6300000]
3	6500000	18	0.36	200	[6300001,6500000]
3	7700000	19	0.38	1200	[6500001,7700000]
3	8900000	20	0.4	1200	[7700001,8900000]
3	10000000	17	0.34	1100	[8900001,10000000]
3	10600000	21	0.42	600	[10000001,10600000]
3	11000000	20	0.4	400	[10600001,11000000]
3	11500000	21	0.42	500	[11000001,11500000]
3	11600000	22	0.44	100	[11500001,11600000]
3	12000000	21	0.42	400	[11600001,12000000]
3	12200000	20	0.4	200	[12000001,12200000]
3	12700000	19	0.38	500	[12200001,12700000]
3	13100000	17	0.34	400	[12700001,13100000]
3	13300000	18	0.36	200	[13100001,13300000]
3	13800000	15	0.3	500	[13300001,13800000]
3	21700000	15	0.3	900	[20800001,21700000]
3	22500000	15	0.3	100	[22400001,22500000]
3	25800000	16	0.32	400	[25400001,25800000]
3	28600000	15	0.3	2800	[25800001,28600000]
3	39800000	15	0.3	1100	[38700001,39800000]
3	41100000	18	0.36	1300	[39800001,41100000]
3	41400000	16	0.32	300	[41100001,41400000]
3	42600000	17	0.34	1200	[41400001,42600000]
3	50800000	15	0.3	600	[50200001,50800000]
3	74000000	15	0.3	800	[73200001,74000000]
3	77000000	15	0.3	1900	[75100001,77000000]
3	84600000	15	0.3	2200	[82400001,84600000]
3	88900000	16	0.32	100	[88800001,88900000]
3	92400000	18	0.36	3500	[88900001,92400000]
