CHR	POS	COUNT	FREQUENCY
24	1	0	0
24	100001	69	0.310811
24	200001	70	0.315315
24	300001	70	0.315315
24	400001	70	0.315315
24	500001	75	0.337838
24	600001	75	0.337838
24	700001	75	0.337838
24	800001	75	0.337838
24	900001	75	0.337838
24	1000001	75	0.337838
24	1100001	75	0.337838
24	1200001	80	0.36036
24	1300001	80	0.36036
24	1400001	78	0.351351
24	1500001	78	0.351351
24	1600001	78	0.351351
24	1700001	78	0.351351
24	1800001	99	0.445946
24	1900001	94	0.423423
24	2000001	94	0.423423
24	2100001	93	0.418919
24	2200001	89	0.400901
24	2300001	89	0.400901
24	2400001	89	0.400901
24	2500001	89	0.400901
24	2600001	88	0.396396
24	2700001	88	0.396396
24	2800001	88	0.396396
24	2900001	77	0.346847
24	3000001	77	0.346847
24	3100001	85	0.382883
24	3200001	54	0.243243
24	3300001	55	0.247748
24	3400001	55	0.247748
24	3500001	73	0.328829
24	3600001	73	0.328829
24	3700001	73	0.328829
24	3800001	73	0.328829
24	3900001	73	0.328829
24	4000001	73	0.328829
24	4100001	73	0.328829
24	4200001	73	0.328829
24	4300001	73	0.328829
24	4400001	73	0.328829
24	4500001	73	0.328829
24	4600001	73	0.328829
24	4700001	73	0.328829
24	4800001	54	0.243243
24	4900001	54	0.243243
24	5000001	53	0.238739
24	5100001	53	0.238739
24	5200001	53	0.238739
24	5300001	52	0.234234
24	5400001	52	0.234234
24	5500001	50	0.225225
24	5600001	51	0.22973
24	5700001	51	0.22973
24	5800001	51	0.22973
24	5900001	45	0.202703
24	6000001	45	0.202703
24	6100001	49	0.220721
24	6200001	49	0.220721
24	6300001	49	0.220721
24	6400001	49	0.220721
24	6500001	49	0.220721
24	6600001	49	0.220721
24	6700001	49	0.220721
24	6800001	50	0.225225
24	6900001	49	0.220721
24	7000001	49	0.220721
24	7100001	53	0.238739
24	7200001	53	0.238739
24	7300001	52	0.234234
24	7400001	52	0.234234
24	7500001	54	0.243243
24	7600001	54	0.243243
24	7700001	55	0.247748
24	7800001	55	0.247748
24	7900001	55	0.247748
24	8000001	56	0.252252
24	8100001	58	0.261261
24	8200001	61	0.274775
24	8300001	61	0.274775
24	8400001	61	0.274775
24	8500001	61	0.274775
24	8600001	61	0.274775
24	8700001	61	0.274775
24	8800001	63	0.283784
24	8900001	63	0.283784
24	9000001	64	0.288288
24	9100001	63	0.283784
24	9200001	63	0.283784
24	9300001	62	0.279279
24	9400001	61	0.274775
24	9500001	61	0.274775
24	9600001	50	0.225225
24	9700001	54	0.243243
24	9800001	53	0.238739
24	9900001	53	0.238739
24	10000001	49	0.220721
24	10100001	48	0.216216
24	10200001	47	0.211712
24	10300001	47	0.211712
24	10400001	44	0.198198
24	10500001	44	0.198198
24	10600001	43	0.193694
24	10700001	43	0.193694
24	10800001	42	0.189189
24	10900001	42	0.189189
24	11000001	41	0.184685
24	11100001	41	0.184685
24	11200001	41	0.184685
24	11300001	41	0.184685
24	11400001	40	0.18018
24	11500001	39	0.175676
24	11600001	36	0.162162
24	11700001	37	0.166667
24	11800001	37	0.166667
24	11900001	37	0.166667
24	12000001	37	0.166667
24	12100001	37	0.166667
24	12200001	37	0.166667
24	12300001	36	0.162162
24	12400001	37	0.166667
24	12500001	37	0.166667
24	12600001	34	0.153153
24	12700001	42	0.189189
24	12800001	42	0.189189
24	12900001	41	0.184685
24	13000001	41	0.184685
24	13100001	41	0.184685
24	13200001	40	0.18018
24	13300001	40	0.18018
24	13400001	51	0.22973
24	13500001	51	0.22973
24	13600001	51	0.22973
24	13700001	44	0.198198
24	13800001	44	0.198198
24	13900001	42	0.189189
24	14000001	42	0.189189
24	14100001	43	0.193694
24	14200001	40	0.18018
24	14300001	40	0.18018
24	14400001	41	0.184685
24	14500001	41	0.184685
24	14600001	42	0.189189
24	14700001	42	0.189189
24	14800001	42	0.189189
24	14900001	42	0.189189
24	15000001	42	0.189189
24	15100001	42	0.189189
24	15200001	40	0.18018
24	15300001	42	0.189189
24	15400001	42	0.189189
24	15500001	42	0.189189
24	15600001	44	0.198198
24	15700001	44	0.198198
24	15800001	44	0.198198
24	15900001	44	0.198198
24	16000001	44	0.198198
24	16100001	43	0.193694
24	16200001	41	0.184685
24	16300001	45	0.202703
24	16400001	49	0.220721
24	16500001	48	0.216216
24	16600001	47	0.211712
24	16700001	46	0.207207
24	16800001	45	0.202703
24	16900001	45	0.202703
24	17000001	45	0.202703
24	17100001	45	0.202703
24	17200001	45	0.202703
24	17300001	45	0.202703
24	17400001	45	0.202703
24	17500001	45	0.202703
24	17600001	43	0.193694
24	17700001	43	0.193694
24	17800001	42	0.189189
24	17900001	42	0.189189
24	18000001	42	0.189189
24	18100001	44	0.198198
24	18200001	46	0.207207
24	18300001	46	0.207207
24	18400001	45	0.202703
24	18500001	46	0.207207
24	18600001	46	0.207207
24	18700001	46	0.207207
24	18800001	51	0.22973
24	18900001	52	0.234234
24	19000001	54	0.243243
24	19100001	55	0.247748
24	19200001	54	0.243243
24	19300001	54	0.243243
24	19400001	54	0.243243
24	19500001	54	0.243243
24	19600001	52	0.234234
24	19700001	52	0.234234
24	19800001	52	0.234234
24	19900001	44	0.198198
24	20000001	44	0.198198
24	20100001	44	0.198198
24	20200001	45	0.202703
24	20300001	46	0.207207
24	20400001	44	0.198198
24	20500001	43	0.193694
24	20600001	45	0.202703
24	20700001	45	0.202703
24	20800001	50	0.225225
24	20900001	50	0.225225
24	21000001	50	0.225225
24	21100001	47	0.211712
24	21200001	47	0.211712
24	21300001	48	0.216216
24	21400001	48	0.216216
24	21500001	57	0.256757
24	21600001	57	0.256757
24	21700001	57	0.256757
24	21800001	57	0.256757
24	21900001	58	0.261261
24	22000001	58	0.261261
24	22100001	90	0.405405
24	22200001	90	0.405405
24	22300001	90	0.405405
24	22400001	90	0.405405
24	22500001	90	0.405405
24	22600001	89	0.400901
24	22700001	78	0.351351
24	22800001	82	0.369369
24	22900001	94	0.423423
24	23000001	99	0.445946
24	23100001	100	0.45045
24	23200001	100	0.45045
24	23300001	99	0.445946
24	23400001	99	0.445946
24	23500001	99	0.445946
24	23600001	99	0.445946
24	23700001	99	0.445946
24	23800001	101	0.454955
24	23900001	101	0.454955
24	24000001	98	0.441441
24	24100001	97	0.436937
24	24200001	98	0.441441
24	24300001	98	0.441441
24	24400001	97	0.436937
24	24500001	99	0.445946
24	24600001	143	0.644144
24	24700001	143	0.644144
24	24800001	143	0.644144
24	24900001	145	0.653153
24	25000001	146	0.657658
24	25100001	146	0.657658
24	25200001	146	0.657658
24	25300001	146	0.657658
24	25400001	146	0.657658
24	25500001	145	0.653153
24	25600001	145	0.653153
24	25700001	145	0.653153
24	25800001	145	0.653153
24	25900001	59	0.265766
24	26000001	59	0.265766
24	26100001	59	0.265766
24	26200001	55	0.247748
24	26300001	55	0.247748
24	26400001	53	0.238739
24	26500001	51	0.22973
24	26600001	51	0.22973
24	26700001	52	0.234234
24	26800001	52	0.234234
24	26900001	52	0.234234
24	27000001	54	0.243243
24	27100001	54	0.243243
24	27200001	54	0.243243
24	27300001	56	0.252252
24	27400001	53	0.238739
24	27500001	52	0.234234
24	27600001	52	0.234234
24	27700001	51	0.22973
24	27800001	50	0.225225
24	27900001	48	0.216216
24	28000001	45	0.202703
24	28100001	45	0.202703
24	28200001	47	0.211712
24	28300001	47	0.211712
24	28400001	44	0.198198
24	28500001	44	0.198198
24	28600001	44	0.198198
24	28700001	44	0.198198
24	28800001	44	0.198198
24	28900001	42	0.189189
24	29000001	43	0.193694
24	29100001	43	0.193694
24	29200001	43	0.193694
24	29300001	44	0.198198
24	29400001	46	0.207207
24	29500001	46	0.207207
24	29600001	45	0.202703
24	29700001	45	0.202703
24	29800001	45	0.202703
24	29900001	45	0.202703
24	30000001	44	0.198198
24	30100001	44	0.198198
24	30200001	44	0.198198
24	30300001	44	0.198198
24	30400001	44	0.198198
24	30500001	43	0.193694
24	30600001	43	0.193694
24	30700001	43	0.193694
24	30800001	43	0.193694
24	30900001	43	0.193694
24	31000001	44	0.198198
24	31100001	44	0.198198
24	31200001	40	0.18018
24	31300001	40	0.18018
24	31400001	40	0.18018
24	31500001	40	0.18018
24	31600001	40	0.18018
24	31700001	40	0.18018
24	31800001	38	0.171171
24	31900001	29	0.130631
24	32000001	30	0.135135
24	32100001	30	0.135135
24	32200001	33	0.148649
24	32300001	54	0.243243
24	32400001	60	0.27027
24	32500001	60	0.27027
24	32600001	60	0.27027
24	32700001	62	0.279279
24	32800001	63	0.283784
24	32900001	63	0.283784
24	33000001	63	0.283784
24	33100001	63	0.283784
24	33200001	63	0.283784
24	33300001	62	0.279279
24	33400001	62	0.279279
24	33500001	63	0.283784
24	33600001	59	0.265766
24	33700001	112	0.504505
24	33800001	112	0.504505
24	33900001	117	0.527027
24	34000001	113	0.509009
24	34100001	114	0.513514
24	34200001	114	0.513514
24	34300001	115	0.518018
24	34400001	115	0.518018
24	34500001	111	0.5
24	34600001	111	0.5
24	34700001	111	0.5
24	34800001	111	0.5
24	34900001	111	0.5
24	35000001	106	0.477477
24	35100001	106	0.477477
24	35200001	108	0.486486
24	35300001	109	0.490991
24	35400001	109	0.490991
24	35500001	111	0.5
24	35600001	112	0.504505
24	35700001	112	0.504505
24	35800001	109	0.490991
24	35900001	111	0.5
24	36000001	110	0.495495
24	36100001	109	0.490991
24	36200001	108	0.486486
24	36300001	108	0.486486
24	36400001	104	0.468468
24	36500001	102	0.459459
24	36600001	100	0.45045
24	36700001	103	0.463964
24	36800001	104	0.468468
24	36900001	104	0.468468
24	37000001	101	0.454955
24	37100001	99	0.445946
24	37200001	98	0.441441
24	37300001	98	0.441441
24	37400001	98	0.441441
24	37500001	98	0.441441
24	37600001	96	0.432432
24	37700001	50	0.225225
24	37800001	37	0.166667
24	37900001	33	0.148649
24	38000001	36	0.162162
24	38100001	39	0.175676
24	38200001	38	0.171171
24	38300001	38	0.171171
24	38400001	37	0.166667
24	38500001	37	0.166667
24	38600001	38	0.171171
24	38700001	40	0.18018
24	38800001	40	0.18018
24	38900001	40	0.18018
24	39000001	37	0.166667
24	39100001	37	0.166667
24	39200001	40	0.18018
24	39300001	40	0.18018
24	39400001	40	0.18018
24	39500001	26	0.117117
24	39600001	26	0.117117
24	39700001	27	0.121622
24	39800001	36	0.162162
24	39900001	36	0.162162
24	40000001	42	0.189189
24	40100001	42	0.189189
24	40200001	43	0.193694
24	40300001	43	0.193694
24	40400001	43	0.193694
24	40500001	45	0.202703
24	40600001	45	0.202703
24	40700001	44	0.198198
24	40800001	45	0.202703
24	40900001	44	0.198198
24	41000001	43	0.193694
24	41100001	46	0.207207
24	41200001	45	0.202703
24	41300001	47	0.211712
24	41400001	45	0.202703
24	41500001	53	0.238739
24	41600001	54	0.243243
24	41700001	54	0.243243
24	41800001	34	0.153153
24	41900001	31	0.13964
24	42000001	30	0.135135
24	42100001	29	0.130631
24	42200001	29	0.130631
24	42300001	27	0.121622
24	42400001	22	0.0990991
24	42500001	19	0.0855856
24	42600001	17	0.0765766
24	42700001	15	0.0675676
24	42800001	17	0.0765766
24	42900001	17	0.0765766
24	43000001	19	0.0855856
24	43100001	18	0.0810811
24	43200001	18	0.0810811
24	43300001	20	0.0900901
24	43400001	23	0.103604
24	43500001	23	0.103604
24	43600001	24	0.108108
24	43700001	25	0.112613
24	43800001	28	0.126126
24	43900001	29	0.130631
24	44000001	28	0.126126
24	44100001	28	0.126126
24	44200001	31	0.13964
24	44300001	33	0.148649
24	44400001	33	0.148649
24	44500001	32	0.144144
24	44600001	35	0.157658
24	44700001	38	0.171171
24	44800001	40	0.18018
24	44900001	39	0.175676
24	45000001	39	0.175676
24	45100001	40	0.18018
24	45200001	43	0.193694
24	45300001	48	0.216216
24	45400001	47	0.211712
24	45500001	49	0.220721
24	45600001	50	0.225225
24	45700001	44	0.198198
24	45800001	46	0.207207
24	45900001	50	0.225225
24	46000001	49	0.220721
24	46100001	50	0.225225
24	46200001	48	0.216216
24	46300001	46	0.207207
24	46400001	36	0.162162
24	46500001	36	0.162162
24	46600001	37	0.166667
24	46700001	39	0.175676
24	46800001	38	0.171171
24	46900001	38	0.171171
24	47000001	34	0.153153
24	47100001	33	0.148649
24	47200001	31	0.13964
24	47300001	31	0.13964
24	47400001	31	0.13964
24	47500001	30	0.135135
24	47600001	30	0.135135
24	100000	0	0
