CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
17	3300001	248	0.765432	100	[3300001,3400000]
17	3400001	247	0.762346	1200	[3400001,4600000]
17	4600001	248	0.765432	100	[4600001,4700000]
17	4700001	249	0.768519	500	[4700001,5200000]
17	5200001	248	0.765432	100	[5200001,5300000]
17	40800001	242	0.746914	100	[40800001,40900000]
17	42500001	247	0.762346	200	[42500001,42700000]
17	42700001	246	0.759259	300	[42700001,43000000]
17	43000001	247	0.762346	100	[43000001,43100000]
17	3400000	248	0.765432	100	[3300001,3400000]
17	4600000	247	0.762346	1200	[3400001,4600000]
17	4700000	248	0.765432	100	[4600001,4700000]
17	5200000	249	0.768519	500	[4700001,5200000]
17	5300000	248	0.765432	100	[5200001,5300000]
17	40900000	242	0.746914	100	[40800001,40900000]
17	42700000	247	0.762346	200	[42500001,42700000]
17	43000000	246	0.759259	300	[42700001,43000000]
17	43100000	247	0.762346	100	[43000001,43100000]
