#Chromosome	Length(bp)	Length(KB)	Markers	SNP_density(Mb)
0	1	0	2142	
1	122656433	122656	11747	95.77
2	85385531	85385	7838	91.80
3	91857950	91857	8434	91.82
4	88249018	88249	8185	92.75
5	88906418	88906	8988	101.10
6	77554984	77554	7747	99.89
7	80858046	80858	7809	96.58
8	74281118	74281	6500	87.50
9	61065046	61065	6641	108.76
10	69278075	69278	6494	93.74
11	74354279	74354	6525	87.76
12	72487629	72487	7043	97.17
13	63196057	63196	5857	92.68
14	60913299	60913	5447	89.42
15	64187450	64187	5809	90.51
16	59512461	59512	5493	92.30
17	64230935	64230	6380	99.33
18	55776004	55776	5741	102.94
19	53725553	53725	4689	87.28
20	58107861	58107	6130	105.50
21	50823963	50823	4941	97.22
22	61436108	61436	5418	88.19
23	52284159	52284	4930	94.29
24	47646254	47646	4895	102.74
25	51612539	51612	5070	98.23
26	38954317	38954	4044	103.82
27	45841984	45841	4637	101.15
28	41161950	41161	4132	100.38
29	41801926	41801	3797	90.83
30	40195241	40195	4169	103.73
31	39874586	39874	3559	89.26
32	38762621	38762	3486	89.93
33	31361171	31361	3153	100.54
34	42087687	42087	4032	95.81
35	26499040	26499	2729	103.02
36	30799775	30799	3010	97.75
37	30894469	30894	3136	101.52
38	23886517	23886	2621	109.75
39	123822155	123822	7000	56.53
42	14983	14	455	45500.00
