CHR	POS	COUNT	FREQUENCY
3	1	0	0
3	100001	51	0.122892
3	200001	53	0.127711
3	300001	53	0.127711
3	400001	61	0.146988
3	500001	63	0.151807
3	600001	64	0.154217
3	700001	66	0.159036
3	800001	66	0.159036
3	900001	71	0.171084
3	1000001	71	0.171084
3	1100001	75	0.180723
3	1200001	70	0.168675
3	1300001	63	0.151807
3	1400001	56	0.13494
3	1500001	61	0.146988
3	1600001	60	0.144578
3	1700001	60	0.144578
3	1800001	60	0.144578
3	1900001	59	0.142169
3	2000001	48	0.115663
3	2100001	43	0.103614
3	2200001	49	0.118072
3	2300001	48	0.115663
3	2400001	48	0.115663
3	2500001	51	0.122892
3	2600001	44	0.106024
3	2700001	35	0.0843373
3	2800001	38	0.0915663
3	2900001	37	0.0891566
3	3000001	38	0.0915663
3	3100001	41	0.0987952
3	3200001	43	0.103614
3	3300001	45	0.108434
3	3400001	60	0.144578
3	3500001	50	0.120482
3	3600001	63	0.151807
3	3700001	69	0.166265
3	3800001	68	0.163855
3	3900001	94	0.226506
3	4000001	105	0.253012
3	4100001	105	0.253012
3	4200001	107	0.257831
3	4300001	107	0.257831
3	4400001	108	0.260241
3	4500001	107	0.257831
3	4600001	115	0.277108
3	4700001	114	0.274699
3	4800001	114	0.274699
3	4900001	112	0.26988
3	5000001	98	0.236145
3	5100001	104	0.250602
3	5200001	94	0.226506
3	5300001	96	0.231325
3	5400001	101	0.243373
3	5500001	85	0.204819
3	5600001	87	0.209639
3	5700001	88	0.212048
3	5800001	85	0.204819
3	5900001	77	0.185542
3	6000001	71	0.171084
3	6100001	74	0.178313
3	6200001	79	0.190361
3	6300001	70	0.168675
3	6400001	64	0.154217
3	6500001	66	0.159036
3	6600001	66	0.159036
3	6700001	66	0.159036
3	6800001	72	0.173494
3	6900001	68	0.163855
3	7000001	74	0.178313
3	7100001	78	0.187952
3	7200001	78	0.187952
3	7300001	79	0.190361
3	7400001	83	0.2
3	7500001	79	0.190361
3	7600001	83	0.2
3	7700001	81	0.195181
3	7800001	80	0.192771
3	7900001	78	0.187952
3	8000001	74	0.178313
3	8100001	82	0.19759
3	8200001	85	0.204819
3	8300001	85	0.204819
3	8400001	73	0.175904
3	8500001	69	0.166265
3	8600001	71	0.171084
3	8700001	71	0.171084
3	8800001	76	0.183133
3	8900001	79	0.190361
3	9000001	84	0.20241
3	9100001	68	0.163855
3	9200001	71	0.171084
3	9300001	69	0.166265
3	9400001	72	0.173494
3	9500001	73	0.175904
3	9600001	72	0.173494
3	9700001	73	0.175904
3	9800001	73	0.175904
3	9900001	55	0.13253
3	10000001	58	0.139759
3	10100001	63	0.151807
3	10200001	59	0.142169
3	10300001	58	0.139759
3	10400001	58	0.139759
3	10500001	44	0.106024
3	10600001	43	0.103614
3	10700001	48	0.115663
3	10800001	48	0.115663
3	10900001	50	0.120482
3	11000001	49	0.118072
3	11100001	52	0.125301
3	11200001	50	0.120482
3	11300001	49	0.118072
3	11400001	42	0.101205
3	11500001	45	0.108434
3	11600001	44	0.106024
3	11700001	42	0.101205
3	11800001	41	0.0987952
3	11900001	50	0.120482
3	12000001	52	0.125301
3	12100001	51	0.122892
3	12200001	51	0.122892
3	12300001	48	0.115663
3	12400001	49	0.118072
3	12500001	49	0.118072
3	12600001	48	0.115663
3	12700001	46	0.110843
3	12800001	50	0.120482
3	12900001	62	0.149398
3	13000001	64	0.154217
3	13100001	59	0.142169
3	13200001	58	0.139759
3	13300001	61	0.146988
3	13400001	59	0.142169
3	13500001	65	0.156627
3	13600001	65	0.156627
3	13700001	79	0.190361
3	13800001	79	0.190361
3	13900001	79	0.190361
3	14000001	78	0.187952
3	14100001	78	0.187952
3	14200001	69	0.166265
3	14300001	72	0.173494
3	14400001	56	0.13494
3	14500001	60	0.144578
3	14600001	48	0.115663
3	14700001	50	0.120482
3	14800001	52	0.125301
3	14900001	57	0.137349
3	15000001	57	0.137349
3	15100001	68	0.163855
3	15200001	73	0.175904
3	15300001	73	0.175904
3	15400001	98	0.236145
3	15500001	97	0.233735
3	15600001	98	0.236145
3	15700001	98	0.236145
3	15800001	104	0.250602
3	15900001	103	0.248193
3	16000001	107	0.257831
3	16100001	96	0.231325
3	16200001	93	0.224096
3	16300001	105	0.253012
3	16400001	88	0.212048
3	16500001	78	0.187952
3	16600001	100	0.240964
3	16700001	99	0.238554
3	16800001	108	0.260241
3	16900001	106	0.255422
3	17000001	104	0.250602
3	17100001	99	0.238554
3	17200001	99	0.238554
3	17300001	115	0.277108
3	17400001	115	0.277108
3	17500001	117	0.281928
3	17600001	118	0.284337
3	17700001	117	0.281928
3	17800001	109	0.262651
3	17900001	101	0.243373
3	18000001	100	0.240964
3	18100001	91	0.219277
3	18200001	92	0.221687
3	18300001	90	0.216867
3	18400001	84	0.20241
3	18500001	72	0.173494
3	18600001	60	0.144578
3	18700001	56	0.13494
3	18800001	56	0.13494
3	18900001	56	0.13494
3	19000001	47	0.113253
3	19100001	50	0.120482
3	19200001	67	0.161446
3	19300001	70	0.168675
3	19400001	69	0.166265
3	19500001	67	0.161446
3	19600001	72	0.173494
3	19700001	69	0.166265
3	19800001	80	0.192771
3	19900001	95	0.228916
3	20000001	95	0.228916
3	20100001	78	0.187952
3	20200001	84	0.20241
3	20300001	90	0.216867
3	20400001	89	0.214458
3	20500001	85	0.204819
3	20600001	110	0.26506
3	20700001	121	0.291566
3	20800001	103	0.248193
3	20900001	112	0.26988
3	21000001	113	0.272289
3	21100001	110	0.26506
3	21200001	107	0.257831
3	21300001	109	0.262651
3	21400001	107	0.257831
3	21500001	100	0.240964
3	21600001	90	0.216867
3	21700001	84	0.20241
3	21800001	77	0.185542
3	21900001	64	0.154217
3	22000001	68	0.163855
3	22100001	62	0.149398
3	22200001	62	0.149398
3	22300001	64	0.154217
3	22400001	65	0.156627
3	22500001	64	0.154217
3	22600001	69	0.166265
3	22700001	73	0.175904
3	22800001	73	0.175904
3	22900001	70	0.168675
3	23000001	71	0.171084
3	23100001	73	0.175904
3	23200001	76	0.183133
3	23300001	67	0.161446
3	23400001	62	0.149398
3	23500001	60	0.144578
3	23600001	56	0.13494
3	23700001	55	0.13253
3	23800001	53	0.127711
3	23900001	54	0.13012
3	24000001	54	0.13012
3	24100001	48	0.115663
3	24200001	49	0.118072
3	24300001	51	0.122892
3	24400001	51	0.122892
3	24500001	50	0.120482
3	24600001	49	0.118072
3	24700001	48	0.115663
3	24800001	47	0.113253
3	24900001	49	0.118072
3	25000001	44	0.106024
3	25100001	41	0.0987952
3	25200001	35	0.0843373
3	25300001	37	0.0891566
3	25400001	37	0.0891566
3	25500001	38	0.0915663
3	25600001	38	0.0915663
3	25700001	38	0.0915663
3	25800001	43	0.103614
3	25900001	41	0.0987952
3	26000001	45	0.108434
3	26100001	48	0.115663
3	26200001	47	0.113253
3	26300001	39	0.0939759
