CHR	POS	COUNT	FREQUENCY
3	1	0	0
3	100001	8	0.16
3	200001	8	0.16
3	300001	8	0.16
3	400001	8	0.16
3	500001	8	0.16
3	600001	8	0.16
3	700001	8	0.16
3	800001	8	0.16
3	900001	8	0.16
3	1000001	8	0.16
3	1100001	8	0.16
3	1200001	8	0.16
3	1300001	8	0.16
3	1400001	13	0.26
3	1500001	13	0.26
3	1600001	13	0.26
3	1700001	13	0.26
3	1800001	13	0.26
3	1900001	13	0.26
3	2000001	13	0.26
3	2100001	14	0.28
3	2200001	14	0.28
3	2300001	14	0.28
3	2400001	15	0.3
3	2500001	15	0.3
3	2600001	15	0.3
3	2700001	21	0.42
3	2800001	21	0.42
3	2900001	21	0.42
3	3000001	21	0.42
3	3100001	21	0.42
3	3200001	21	0.42
3	3300001	21	0.42
3	3400001	21	0.42
3	3500001	21	0.42
3	3600001	21	0.42
3	3700001	21	0.42
3	3800001	21	0.42
3	3900001	21	0.42
3	4000001	21	0.42
3	4100001	21	0.42
3	4200001	23	0.46
3	4300001	23	0.46
3	4400001	21	0.42
3	4500001	21	0.42
3	4600001	21	0.42
3	4700001	21	0.42
3	4800001	21	0.42
3	4900001	19	0.38
3	5000001	19	0.38
3	5100001	19	0.38
3	5200001	19	0.38
3	5300001	18	0.36
3	5400001	18	0.36
3	5500001	18	0.36
3	5600001	18	0.36
3	5700001	18	0.36
3	5800001	18	0.36
3	5900001	18	0.36
3	6000001	18	0.36
3	6100001	13	0.26
3	6200001	13	0.26
3	6300001	13	0.26
3	6400001	13	0.26
3	6500001	14	0.28
3	6600001	24	0.48
3	6700001	24	0.48
3	6800001	24	0.48
3	6900001	24	0.48
3	7000001	24	0.48
3	7100001	24	0.48
3	7200001	24	0.48
3	7300001	24	0.48
3	7400001	24	0.48
3	7500001	23	0.46
3	7600001	23	0.46
3	7700001	23	0.46
3	7800001	19	0.38
3	7900001	18	0.36
3	8000001	18	0.36
3	8100001	18	0.36
3	8200001	18	0.36
3	8300001	18	0.36
3	8400001	18	0.36
3	8500001	18	0.36
3	8600001	18	0.36
3	8700001	18	0.36
3	8800001	18	0.36
3	8900001	18	0.36
3	9000001	14	0.28
3	9100001	13	0.26
3	9200001	13	0.26
3	9300001	11	0.22
3	9400001	11	0.22
3	9500001	11	0.22
3	9600001	11	0.22
3	9700001	11	0.22
3	9800001	13	0.26
3	9900001	13	0.26
3	10000001	7	0.14
3	10100001	7	0.14
3	10200001	7	0.14
3	10300001	8	0.16
3	10400001	8	0.16
3	10500001	8	0.16
3	10600001	8	0.16
3	10700001	8	0.16
3	10800001	9	0.18
3	10900001	9	0.18
3	11000001	9	0.18
3	11100001	9	0.18
3	11200001	9	0.18
3	11300001	9	0.18
3	11400001	10	0.2
3	11500001	10	0.2
3	11600001	10	0.2
3	11700001	10	0.2
3	11800001	10	0.2
3	11900001	10	0.2
3	12000001	10	0.2
3	12100001	10	0.2
3	12200001	10	0.2
3	12300001	10	0.2
3	12400001	10	0.2
3	12500001	10	0.2
3	12600001	10	0.2
3	12700001	11	0.22
3	12800001	11	0.22
3	12900001	10	0.2
3	13000001	10	0.2
3	13100001	10	0.2
3	13200001	7	0.14
3	13300001	8	0.16
3	13400001	8	0.16
3	13500001	8	0.16
3	13600001	8	0.16
3	13700001	8	0.16
3	13800001	8	0.16
3	13900001	7	0.14
3	14000001	7	0.14
3	14100001	7	0.14
3	14200001	7	0.14
3	14300001	7	0.14
3	14400001	7	0.14
3	14500001	7	0.14
3	14600001	7	0.14
3	14700001	8	0.16
3	14800001	8	0.16
3	14900001	8	0.16
3	15000001	8	0.16
3	15100001	8	0.16
3	15200001	8	0.16
3	15300001	8	0.16
3	15400001	8	0.16
3	15500001	7	0.14
3	15600001	6	0.12
3	15700001	6	0.12
3	15800001	6	0.12
3	15900001	6	0.12
3	16000001	7	0.14
3	16100001	7	0.14
3	16200001	7	0.14
3	16300001	7	0.14
3	16400001	7	0.14
3	16500001	7	0.14
3	16600001	6	0.12
3	16700001	7	0.14
3	16800001	7	0.14
3	16900001	9	0.18
3	17000001	9	0.18
3	17100001	9	0.18
3	17200001	9	0.18
3	17300001	9	0.18
3	17400001	9	0.18
3	17500001	9	0.18
3	17600001	9	0.18
3	17700001	9	0.18
3	17800001	9	0.18
3	17900001	9	0.18
3	18000001	9	0.18
3	18100001	9	0.18
3	18200001	9	0.18
3	18300001	9	0.18
3	18400001	9	0.18
3	18500001	9	0.18
3	18600001	9	0.18
3	18700001	9	0.18
3	18800001	8	0.16
3	18900001	8	0.16
3	19000001	10	0.2
3	19100001	10	0.2
3	19200001	10	0.2
3	19300001	10	0.2
3	19400001	10	0.2
3	19500001	10	0.2
3	19600001	10	0.2
3	19700001	10	0.2
3	19800001	10	0.2
3	19900001	10	0.2
3	20000001	10	0.2
3	20100001	9	0.18
3	20200001	9	0.18
3	20300001	10	0.2
3	20400001	13	0.26
3	20500001	13	0.26
3	20600001	13	0.26
3	20700001	13	0.26
3	20800001	14	0.28
3	20900001	13	0.26
3	21000001	13	0.26
3	21100001	13	0.26
3	21200001	13	0.26
3	21300001	14	0.28
3	21400001	17	0.34
3	21500001	17	0.34
3	21600001	17	0.34
3	21700001	17	0.34
3	21800001	17	0.34
3	21900001	16	0.32
3	22000001	16	0.32
3	22100001	16	0.32
3	22200001	16	0.32
3	22300001	16	0.32
3	22400001	16	0.32
3	22500001	16	0.32
3	22600001	16	0.32
3	22700001	17	0.34
3	22800001	17	0.34
3	22900001	17	0.34
3	23000001	15	0.3
3	23100001	15	0.3
3	23200001	15	0.3
3	23300001	23	0.46
3	23400001	23	0.46
3	23500001	23	0.46
3	23600001	21	0.42
3	23700001	20	0.4
3	23800001	20	0.4
3	23900001	21	0.42
3	24000001	21	0.42
3	24100001	21	0.42
3	24200001	21	0.42
3	24300001	21	0.42
3	24400001	21	0.42
3	24500001	21	0.42
3	24600001	24	0.48
3	24700001	26	0.52
3	24800001	26	0.52
3	24900001	26	0.52
3	25000001	26	0.52
3	25100001	26	0.52
3	25200001	26	0.52
3	25300001	26	0.52
3	25400001	26	0.52
3	25500001	26	0.52
3	25600001	26	0.52
3	25700001	26	0.52
3	25800001	26	0.52
3	25900001	26	0.52
3	26000001	26	0.52
3	26100001	26	0.52
3	26200001	26	0.52
3	26300001	26	0.52
3	26400001	26	0.52
3	26500001	26	0.52
3	26600001	25	0.5
3	26700001	25	0.5
3	26800001	25	0.5
3	26900001	25	0.5
3	27000001	25	0.5
3	27100001	25	0.5
3	27200001	25	0.5
3	27300001	25	0.5
3	27400001	23	0.46
3	27500001	23	0.46
3	27600001	23	0.46
3	27700001	24	0.48
3	27800001	24	0.48
3	27900001	24	0.48
3	28000001	14	0.28
3	28100001	13	0.26
3	28200001	14	0.28
3	28300001	14	0.28
3	28400001	14	0.28
3	28500001	14	0.28
3	28600001	14	0.28
3	28700001	14	0.28
3	28800001	14	0.28
3	28900001	14	0.28
3	29000001	14	0.28
3	29100001	14	0.28
3	29200001	14	0.28
3	29300001	14	0.28
3	29400001	14	0.28
3	29500001	14	0.28
3	29600001	15	0.3
3	29700001	15	0.3
3	29800001	15	0.3
3	29900001	15	0.3
3	30000001	15	0.3
3	30100001	15	0.3
3	30200001	15	0.3
3	30300001	15	0.3
3	30400001	18	0.36
3	30500001	18	0.36
3	30600001	17	0.34
3	30700001	18	0.36
3	30800001	16	0.32
3	30900001	16	0.32
3	31000001	18	0.36
3	31100001	18	0.36
3	31200001	18	0.36
3	31300001	18	0.36
3	31400001	18	0.36
3	31500001	18	0.36
3	31600001	19	0.38
3	31700001	19	0.38
3	31800001	19	0.38
3	31900001	19	0.38
3	32000001	24	0.48
3	32100001	24	0.48
3	32200001	24	0.48
3	32300001	24	0.48
3	32400001	22	0.44
3	32500001	22	0.44
3	32600001	22	0.44
3	32700001	22	0.44
3	32800001	23	0.46
3	32900001	23	0.46
3	33000001	23	0.46
3	33100001	23	0.46
3	33200001	23	0.46
3	33300001	22	0.44
3	33400001	23	0.46
3	33500001	23	0.46
3	33600001	23	0.46
3	33700001	23	0.46
3	33800001	24	0.48
3	33900001	21	0.42
3	34000001	21	0.42
3	34100001	21	0.42
3	34200001	30	0.6
3	34300001	30	0.6
3	34400001	30	0.6
3	34500001	32	0.64
3	34600001	32	0.64
3	34700001	32	0.64
3	34800001	35	0.7
3	34900001	35	0.7
3	35000001	35	0.7
3	35100001	35	0.7
3	35200001	35	0.7
3	35300001	35	0.7
3	35400001	35	0.7
3	35500001	36	0.72
3	35600001	36	0.72
3	35700001	36	0.72
3	35800001	36	0.72
3	35900001	36	0.72
3	36000001	36	0.72
3	36100001	36	0.72
3	36200001	36	0.72
3	36300001	36	0.72
3	36400001	36	0.72
3	36500001	36	0.72
3	36600001	36	0.72
3	36700001	36	0.72
3	36800001	36	0.72
3	36900001	34	0.68
3	37000001	34	0.68
3	37100001	34	0.68
3	37200001	34	0.68
3	37300001	34	0.68
3	37400001	34	0.68
3	37500001	34	0.68
3	37600001	34	0.68
3	37700001	34	0.68
3	37800001	34	0.68
3	37900001	34	0.68
3	38000001	34	0.68
3	38100001	34	0.68
3	38200001	34	0.68
3	38300001	34	0.68
3	38400001	34	0.68
3	38500001	34	0.68
3	38600001	34	0.68
3	38700001	34	0.68
3	38800001	34	0.68
3	38900001	34	0.68
3	39000001	34	0.68
3	39100001	34	0.68
3	39200001	34	0.68
3	39300001	34	0.68
3	39400001	34	0.68
3	39500001	34	0.68
3	39600001	34	0.68
3	39700001	34	0.68
3	39800001	34	0.68
3	39900001	34	0.68
3	40000001	34	0.68
3	40100001	34	0.68
3	40200001	30	0.6
3	40300001	30	0.6
3	40400001	30	0.6
3	40500001	30	0.6
3	40600001	30	0.6
3	40700001	30	0.6
3	40800001	30	0.6
3	40900001	30	0.6
3	41000001	30	0.6
3	41100001	17	0.34
3	41200001	0	0
3	41300001	0	0
3	41400001	0	0
3	41500001	0	0
3	41600001	0	0
3	41700001	0	0
3	41800001	0	0
3	41900001	0	0
3	42000001	0	0
3	42100001	0	0
3	42200001	0	0
3	42300001	0	0
3	42400001	0	0
3	42500001	0	0
3	42600001	0	0
3	42700001	0	0
3	42800001	0	0
3	42900001	0	0
3	43000001	0	0
3	43100001	0	0
3	43200001	0	0
3	43300001	0	0
3	43400001	0	0
3	43500001	0	0
3	43600001	0	0
3	43700001	0	0
3	43800001	0	0
3	43900001	0	0
3	44000001	0	0
3	44100001	0	0
3	44200001	0	0
3	44300001	0	0
3	44400001	0	0
3	44500001	0	0
3	44600001	11	0.22
3	44700001	14	0.28
3	44800001	14	0.28
3	44900001	14	0.28
3	45000001	14	0.28
3	45100001	14	0.28
3	45200001	14	0.28
3	45300001	14	0.28
3	45400001	14	0.28
3	45500001	14	0.28
3	45600001	15	0.3
3	45700001	15	0.3
3	45800001	15	0.3
3	45900001	15	0.3
3	46000001	15	0.3
3	46100001	16	0.32
3	46200001	16	0.32
3	46300001	16	0.32
3	46400001	16	0.32
3	46500001	16	0.32
3	46600001	16	0.32
3	46700001	16	0.32
3	46800001	16	0.32
3	46900001	16	0.32
3	47000001	16	0.32
3	47100001	16	0.32
3	47200001	20	0.4
3	47300001	20	0.4
3	47400001	20	0.4
3	47500001	20	0.4
3	47600001	20	0.4
3	47700001	20	0.4
3	47800001	20	0.4
3	47900001	20	0.4
3	48000001	20	0.4
3	48100001	20	0.4
3	48200001	20	0.4
3	48300001	20	0.4
3	48400001	20	0.4
3	48500001	20	0.4
3	48600001	20	0.4
3	48700001	20	0.4
3	48800001	20	0.4
3	48900001	20	0.4
3	49000001	20	0.4
3	49100001	20	0.4
3	49200001	20	0.4
3	49300001	20	0.4
3	49400001	21	0.42
3	49500001	21	0.42
3	49600001	21	0.42
3	49700001	21	0.42
3	49800001	21	0.42
3	49900001	21	0.42
3	50000001	21	0.42
3	50100001	20	0.4
3	50200001	21	0.42
3	50300001	21	0.42
3	50400001	27	0.54
3	50500001	30	0.6
3	50600001	30	0.6
3	50700001	30	0.6
3	50800001	30	0.6
3	50900001	30	0.6
3	51000001	30	0.6
3	51100001	30	0.6
3	51200001	30	0.6
3	51300001	30	0.6
3	51400001	30	0.6
3	51500001	30	0.6
3	51600001	30	0.6
3	51700001	29	0.58
3	51800001	29	0.58
3	51900001	29	0.58
3	52000001	29	0.58
3	52100001	26	0.52
3	52200001	26	0.52
3	52300001	26	0.52
3	52400001	26	0.52
3	52500001	25	0.5
3	52600001	25	0.5
3	52700001	25	0.5
3	52800001	28	0.56
3	52900001	28	0.56
3	53000001	28	0.56
3	53100001	28	0.56
3	53200001	28	0.56
3	53300001	28	0.56
3	53400001	28	0.56
3	53500001	28	0.56
3	53600001	28	0.56
3	53700001	28	0.56
3	53800001	28	0.56
3	53900001	31	0.62
3	54000001	31	0.62
3	54100001	31	0.62
3	54200001	31	0.62
3	54300001	31	0.62
3	54400001	31	0.62
3	54500001	31	0.62
3	54600001	31	0.62
3	54700001	31	0.62
3	54800001	31	0.62
3	54900001	31	0.62
3	55000001	31	0.62
3	55100001	31	0.62
3	55200001	31	0.62
3	55300001	31	0.62
3	55400001	31	0.62
3	55500001	31	0.62
3	55600001	31	0.62
3	55700001	24	0.48
3	55800001	24	0.48
3	55900001	24	0.48
3	56000001	24	0.48
3	56100001	24	0.48
3	56200001	25	0.5
3	56300001	25	0.5
3	56400001	25	0.5
3	56500001	25	0.5
3	56600001	25	0.5
3	56700001	25	0.5
3	56800001	25	0.5
3	56900001	25	0.5
3	57000001	25	0.5
3	57100001	24	0.48
3	57200001	24	0.48
3	57300001	24	0.48
3	57400001	24	0.48
3	57500001	24	0.48
3	57600001	25	0.5
3	57700001	25	0.5
3	57800001	25	0.5
3	57900001	25	0.5
3	58000001	25	0.5
3	58100001	25	0.5
3	58200001	25	0.5
3	58300001	20	0.4
3	58400001	20	0.4
3	58500001	20	0.4
3	58600001	20	0.4
3	58700001	19	0.38
3	58800001	18	0.36
3	58900001	18	0.36
3	59000001	15	0.3
3	59100001	15	0.3
3	59200001	15	0.3
3	59300001	14	0.28
3	59400001	14	0.28
3	59500001	14	0.28
3	59600001	14	0.28
3	59700001	14	0.28
3	59800001	14	0.28
3	59900001	15	0.3
3	60000001	15	0.3
3	60100001	15	0.3
3	60200001	15	0.3
3	60300001	15	0.3
3	60400001	15	0.3
3	60500001	14	0.28
3	60600001	14	0.28
3	60700001	14	0.28
3	60800001	15	0.3
3	60900001	15	0.3
3	61000001	15	0.3
3	61100001	15	0.3
3	61200001	15	0.3
3	61300001	15	0.3
3	61400001	15	0.3
3	61500001	15	0.3
3	61600001	15	0.3
3	61700001	16	0.32
3	61800001	16	0.32
3	61900001	16	0.32
3	62000001	16	0.32
3	62100001	16	0.32
3	62200001	13	0.26
3	62300001	13	0.26
3	62400001	13	0.26
3	62500001	13	0.26
3	62600001	13	0.26
3	62700001	13	0.26
3	62800001	15	0.3
3	62900001	15	0.3
3	63000001	17	0.34
3	63100001	17	0.34
3	63200001	23	0.46
3	63300001	23	0.46
3	63400001	23	0.46
