CHR	POS	COUNT	FREQUENCY
17	1	0	0
17	100001	50	0.225225
17	200001	50	0.225225
17	300001	50	0.225225
17	400001	50	0.225225
17	500001	50	0.225225
17	600001	50	0.225225
17	700001	50	0.225225
17	800001	50	0.225225
17	900001	50	0.225225
17	1000001	50	0.225225
17	1100001	50	0.225225
17	1200001	51	0.22973
17	1300001	76	0.342342
17	1400001	75	0.337838
17	1500001	75	0.337838
17	1600001	74	0.333333
17	1700001	75	0.337838
17	1800001	75	0.337838
17	1900001	75	0.337838
17	2000001	75	0.337838
17	2100001	75	0.337838
17	2200001	76	0.342342
17	2300001	59	0.265766
17	2400001	50	0.225225
17	2500001	50	0.225225
17	2600001	50	0.225225
17	2700001	49	0.220721
17	2800001	48	0.216216
17	2900001	48	0.216216
17	3000001	48	0.216216
17	3100001	48	0.216216
17	3200001	48	0.216216
17	3300001	48	0.216216
17	3400001	48	0.216216
17	3500001	54	0.243243
17	3600001	54	0.243243
17	3700001	54	0.243243
17	3800001	54	0.243243
17	3900001	53	0.238739
17	4000001	53	0.238739
17	4100001	53	0.238739
17	4200001	53	0.238739
17	4300001	53	0.238739
17	4400001	52	0.234234
17	4500001	45	0.202703
17	4600001	45	0.202703
17	4700001	45	0.202703
17	4800001	45	0.202703
17	4900001	45	0.202703
17	5000001	45	0.202703
17	5100001	45	0.202703
17	5200001	45	0.202703
17	5300001	45	0.202703
17	5400001	46	0.207207
17	5500001	45	0.202703
17	5600001	46	0.207207
17	5700001	46	0.207207
17	5800001	43	0.193694
17	5900001	43	0.193694
17	6000001	43	0.193694
17	6100001	43	0.193694
17	6200001	43	0.193694
17	6300001	43	0.193694
17	6400001	43	0.193694
17	6500001	42	0.189189
17	6600001	41	0.184685
17	6700001	41	0.184685
17	6800001	41	0.184685
17	6900001	40	0.18018
17	7000001	40	0.18018
17	7100001	40	0.18018
17	7200001	40	0.18018
17	7300001	40	0.18018
17	7400001	38	0.171171
17	7500001	40	0.18018
17	7600001	40	0.18018
17	7700001	40	0.18018
17	7800001	41	0.184685
17	7900001	41	0.184685
17	8000001	41	0.184685
17	8100001	42	0.189189
17	8200001	42	0.189189
17	8300001	42	0.189189
17	8400001	43	0.193694
17	8500001	45	0.202703
17	8600001	44	0.198198
17	8700001	44	0.198198
17	8800001	43	0.193694
17	8900001	47	0.211712
17	9000001	46	0.207207
17	9100001	45	0.202703
17	9200001	51	0.22973
17	9300001	49	0.220721
17	9400001	51	0.22973
17	9500001	49	0.220721
17	9600001	47	0.211712
17	9700001	47	0.211712
17	9800001	48	0.216216
17	9900001	48	0.216216
17	10000001	48	0.216216
17	10100001	48	0.216216
17	10200001	47	0.211712
17	10300001	46	0.207207
17	10400001	49	0.220721
17	10500001	49	0.220721
17	10600001	47	0.211712
17	10700001	49	0.220721
17	10800001	49	0.220721
17	10900001	51	0.22973
17	11000001	41	0.184685
17	11100001	60	0.27027
17	11200001	60	0.27027
17	11300001	60	0.27027
17	11400001	60	0.27027
17	11500001	59	0.265766
17	11600001	59	0.265766
17	11700001	56	0.252252
17	11800001	58	0.261261
17	11900001	55	0.247748
17	12000001	66	0.297297
17	12100001	62	0.279279
17	12200001	62	0.279279
17	12300001	63	0.283784
17	12400001	63	0.283784
17	12500001	63	0.283784
17	12600001	63	0.283784
17	12700001	63	0.283784
17	12800001	64	0.288288
17	12900001	64	0.288288
17	13000001	64	0.288288
17	13100001	64	0.288288
17	13200001	62	0.279279
17	13300001	61	0.274775
17	13400001	46	0.207207
17	13500001	46	0.207207
17	13600001	43	0.193694
17	13700001	43	0.193694
17	13800001	44	0.198198
17	13900001	45	0.202703
17	14000001	45	0.202703
17	14100001	45	0.202703
17	14200001	49	0.220721
17	14300001	49	0.220721
17	14400001	48	0.216216
17	14500001	46	0.207207
17	14600001	46	0.207207
17	14700001	47	0.211712
17	14800001	45	0.202703
17	14900001	46	0.207207
17	15000001	45	0.202703
17	15100001	43	0.193694
17	15200001	45	0.202703
17	15300001	47	0.211712
17	15400001	47	0.211712
17	15500001	45	0.202703
17	15600001	43	0.193694
17	15700001	53	0.238739
17	15800001	53	0.238739
17	15900001	53	0.238739
17	16000001	54	0.243243
17	16100001	54	0.243243
17	16200001	57	0.256757
17	16300001	54	0.243243
17	16400001	53	0.238739
17	16500001	53	0.238739
17	16600001	58	0.261261
17	16700001	59	0.265766
17	16800001	60	0.27027
17	16900001	60	0.27027
17	17000001	58	0.261261
17	17100001	59	0.265766
17	17200001	59	0.265766
17	17300001	58	0.261261
17	17400001	58	0.261261
17	17500001	58	0.261261
17	17600001	58	0.261261
17	17700001	63	0.283784
17	17800001	49	0.220721
17	17900001	49	0.220721
17	18000001	49	0.220721
17	18100001	47	0.211712
17	18200001	47	0.211712
17	18300001	47	0.211712
17	18400001	30	0.135135
17	18500001	51	0.22973
17	18600001	54	0.243243
17	18700001	54	0.243243
17	18800001	52	0.234234
17	18900001	52	0.234234
17	19000001	52	0.234234
17	19100001	53	0.238739
17	19200001	54	0.243243
17	19300001	54	0.243243
17	19400001	54	0.243243
17	19500001	53	0.238739
17	19600001	55	0.247748
17	19700001	55	0.247748
17	19800001	54	0.243243
17	19900001	54	0.243243
17	20000001	54	0.243243
17	20100001	55	0.247748
17	20200001	55	0.247748
17	20300001	65	0.292793
17	20400001	64	0.288288
17	20500001	66	0.297297
17	20600001	62	0.279279
17	20700001	60	0.27027
17	20800001	59	0.265766
17	20900001	62	0.279279
17	21000001	62	0.279279
17	21100001	62	0.279279
17	21200001	62	0.279279
17	21300001	61	0.274775
17	21400001	62	0.279279
17	21500001	62	0.279279
17	21600001	62	0.279279
17	21700001	62	0.279279
17	21800001	65	0.292793
17	21900001	65	0.292793
17	22000001	65	0.292793
17	22100001	65	0.292793
17	22200001	65	0.292793
17	22300001	64	0.288288
17	22400001	66	0.297297
17	22500001	66	0.297297
17	22600001	66	0.297297
17	22700001	64	0.288288
17	22800001	64	0.288288
17	22900001	62	0.279279
17	23000001	55	0.247748
17	23100001	57	0.256757
17	23200001	57	0.256757
17	23300001	56	0.252252
17	23400001	55	0.247748
17	23500001	54	0.243243
17	23600001	53	0.238739
17	23700001	49	0.220721
17	23800001	50	0.225225
17	23900001	53	0.238739
17	24000001	53	0.238739
17	24100001	53	0.238739
17	24200001	53	0.238739
17	24300001	53	0.238739
17	24400001	52	0.234234
17	24500001	51	0.22973
17	24600001	51	0.22973
17	24700001	49	0.220721
17	24800001	44	0.198198
17	24900001	44	0.198198
17	25000001	43	0.193694
17	25100001	40	0.18018
17	25200001	40	0.18018
17	25300001	40	0.18018
17	25400001	40	0.18018
17	25500001	41	0.184685
17	25600001	41	0.184685
17	25700001	41	0.184685
17	25800001	41	0.184685
17	25900001	41	0.184685
17	26000001	42	0.189189
17	26100001	43	0.193694
17	26200001	43	0.193694
17	26300001	53	0.238739
17	26400001	53	0.238739
17	26500001	52	0.234234
17	26600001	52	0.234234
17	26700001	64	0.288288
17	26800001	64	0.288288
17	26900001	75	0.337838
17	27000001	75	0.337838
17	27100001	73	0.328829
17	27200001	81	0.364865
17	27300001	80	0.36036
17	27400001	80	0.36036
17	27500001	80	0.36036
17	27600001	80	0.36036
17	27700001	77	0.346847
17	27800001	78	0.351351
17	27900001	78	0.351351
17	28000001	79	0.355856
17	28100001	79	0.355856
17	28200001	74	0.333333
17	28300001	74	0.333333
17	28400001	73	0.328829
17	28500001	59	0.265766
17	28600001	59	0.265766
17	28700001	56	0.252252
17	28800001	55	0.247748
17	28900001	55	0.247748
17	29000001	54	0.243243
17	29100001	58	0.261261
17	29200001	60	0.27027
17	29300001	58	0.261261
17	29400001	60	0.27027
17	29500001	61	0.274775
17	29600001	61	0.274775
17	29700001	60	0.27027
17	29800001	60	0.27027
17	29900001	60	0.27027
17	30000001	58	0.261261
17	30100001	59	0.265766
17	30200001	61	0.274775
17	30300001	59	0.265766
17	30400001	59	0.265766
17	30500001	59	0.265766
17	30600001	61	0.274775
17	30700001	61	0.274775
17	30800001	60	0.27027
17	30900001	66	0.297297
17	31000001	66	0.297297
17	31100001	64	0.288288
17	31200001	66	0.297297
17	31300001	67	0.301802
17	31400001	68	0.306306
17	31500001	66	0.297297
17	31600001	86	0.387387
17	31700001	84	0.378378
17	31800001	70	0.315315
17	31900001	70	0.315315
17	32000001	69	0.310811
17	32100001	69	0.310811
17	32200001	69	0.310811
17	32300001	72	0.324324
17	32400001	70	0.315315
17	32500001	70	0.315315
17	32600001	69	0.310811
17	32700001	69	0.310811
17	32800001	88	0.396396
17	32900001	88	0.396396
17	33000001	88	0.396396
17	33100001	87	0.391892
17	33200001	88	0.396396
17	33300001	87	0.391892
17	33400001	88	0.396396
17	33500001	88	0.396396
17	33600001	88	0.396396
17	33700001	89	0.400901
17	33800001	90	0.405405
17	33900001	88	0.396396
17	34000001	88	0.396396
17	34100001	85	0.382883
17	34200001	86	0.387387
17	34300001	86	0.387387
17	34400001	86	0.387387
17	34500001	67	0.301802
17	34600001	82	0.369369
17	34700001	82	0.369369
17	34800001	82	0.369369
17	34900001	82	0.369369
17	35000001	83	0.373874
17	35100001	83	0.373874
17	35200001	83	0.373874
17	35300001	82	0.369369
17	35400001	82	0.369369
17	35500001	83	0.373874
17	35600001	85	0.382883
17	35700001	86	0.387387
