CHR	POS	COUNT	FREQUENCY
3	1	0	0
3	100001	10	0.111111
3	200001	11	0.122222
3	300001	11	0.122222
3	400001	11	0.122222
3	500001	11	0.122222
3	600001	11	0.122222
3	700001	14	0.155556
3	800001	14	0.155556
3	900001	14	0.155556
3	1000001	15	0.166667
3	1100001	15	0.166667
3	1200001	15	0.166667
3	1300001	15	0.166667
3	1400001	15	0.166667
3	1500001	15	0.166667
3	1600001	15	0.166667
3	1700001	15	0.166667
3	1800001	15	0.166667
3	1900001	15	0.166667
3	2000001	15	0.166667
3	2100001	15	0.166667
3	2200001	15	0.166667
3	2300001	15	0.166667
3	2400001	15	0.166667
3	2500001	15	0.166667
3	2600001	15	0.166667
3	2700001	16	0.177778
3	2800001	16	0.177778
3	2900001	16	0.177778
3	3000001	16	0.177778
3	3100001	16	0.177778
3	3200001	16	0.177778
3	3300001	16	0.177778
3	3400001	16	0.177778
3	3500001	15	0.166667
3	3600001	15	0.166667
3	3700001	15	0.166667
3	3800001	15	0.166667
3	3900001	16	0.177778
3	4000001	16	0.177778
3	4100001	16	0.177778
3	4200001	16	0.177778
3	4300001	15	0.166667
3	4400001	15	0.166667
3	4500001	15	0.166667
3	4600001	15	0.166667
3	4700001	17	0.188889
3	4800001	17	0.188889
3	4900001	17	0.188889
3	5000001	16	0.177778
3	5100001	16	0.177778
3	5200001	15	0.166667
3	5300001	15	0.166667
3	5400001	15	0.166667
3	5500001	15	0.166667
3	5600001	15	0.166667
3	5700001	15	0.166667
3	5800001	17	0.188889
3	5900001	17	0.188889
3	6000001	17	0.188889
3	6100001	18	0.2
3	6200001	18	0.2
3	6300001	18	0.2
3	6400001	18	0.2
3	6500001	16	0.177778
3	6600001	16	0.177778
3	6700001	16	0.177778
3	6800001	16	0.177778
3	6900001	16	0.177778
3	7000001	17	0.188889
3	7100001	17	0.188889
3	7200001	17	0.188889
3	7300001	17	0.188889
3	7400001	18	0.2
3	7500001	18	0.2
3	7600001	18	0.2
3	7700001	18	0.2
3	7800001	18	0.2
3	7900001	18	0.2
3	8000001	18	0.2
3	8100001	18	0.2
3	8200001	18	0.2
3	8300001	18	0.2
3	8400001	17	0.188889
3	8500001	17	0.188889
3	8600001	17	0.188889
3	8700001	17	0.188889
3	8800001	17	0.188889
3	8900001	17	0.188889
3	9000001	20	0.222222
3	9100001	18	0.2
3	9200001	17	0.188889
3	9300001	17	0.188889
3	9400001	17	0.188889
3	9500001	17	0.188889
3	9600001	17	0.188889
3	9700001	17	0.188889
3	9800001	17	0.188889
3	9900001	18	0.2
3	10000001	18	0.2
3	10100001	18	0.2
3	10200001	18	0.2
3	10300001	19	0.211111
3	10400001	19	0.211111
3	10500001	19	0.211111
3	10600001	18	0.2
3	10700001	17	0.188889
3	10800001	17	0.188889
3	10900001	17	0.188889
3	11000001	17	0.188889
3	11100001	17	0.188889
3	11200001	17	0.188889
3	11300001	17	0.188889
3	11400001	17	0.188889
3	11500001	17	0.188889
3	11600001	17	0.188889
3	11700001	17	0.188889
3	11800001	17	0.188889
3	11900001	17	0.188889
3	12000001	17	0.188889
3	12100001	17	0.188889
3	12200001	16	0.177778
3	12300001	15	0.166667
3	12400001	13	0.144444
3	12500001	13	0.144444
3	12600001	13	0.144444
3	12700001	14	0.155556
3	12800001	14	0.155556
3	12900001	12	0.133333
3	13000001	10	0.111111
3	13100001	10	0.111111
3	13200001	10	0.111111
3	13300001	10	0.111111
3	13400001	10	0.111111
3	13500001	10	0.111111
3	13600001	10	0.111111
3	13700001	11	0.122222
3	13800001	11	0.122222
3	13900001	11	0.122222
3	14000001	11	0.122222
3	14100001	11	0.122222
3	14200001	11	0.122222
3	14300001	12	0.133333
3	14400001	12	0.133333
3	14500001	12	0.133333
3	14600001	12	0.133333
3	14700001	12	0.133333
3	14800001	12	0.133333
3	14900001	12	0.133333
3	15000001	13	0.144444
3	15100001	12	0.133333
3	15200001	15	0.166667
3	15300001	15	0.166667
3	15400001	15	0.166667
3	15500001	15	0.166667
3	15600001	15	0.166667
3	15700001	15	0.166667
3	15800001	14	0.155556
3	15900001	14	0.155556
3	16000001	14	0.155556
3	16100001	14	0.155556
3	16200001	15	0.166667
3	16300001	17	0.188889
3	16400001	17	0.188889
3	16500001	17	0.188889
3	16600001	17	0.188889
3	16700001	17	0.188889
3	16800001	17	0.188889
3	16900001	20	0.222222
3	17000001	20	0.222222
3	17100001	20	0.222222
3	17200001	20	0.222222
3	17300001	20	0.222222
3	17400001	20	0.222222
3	17500001	22	0.244444
3	17600001	22	0.244444
3	17700001	30	0.333333
3	17800001	31	0.344444
3	17900001	31	0.344444
3	18000001	31	0.344444
3	18100001	32	0.355556
3	18200001	33	0.366667
3	18300001	32	0.355556
3	18400001	32	0.355556
3	18500001	30	0.333333
3	18600001	30	0.333333
3	18700001	29	0.322222
3	18800001	29	0.322222
3	18900001	29	0.322222
3	19000001	29	0.322222
3	19100001	29	0.322222
3	19200001	29	0.322222
3	19300001	29	0.322222
3	19400001	29	0.322222
3	19500001	29	0.322222
3	19600001	29	0.322222
3	19700001	29	0.322222
3	19800001	27	0.3
3	19900001	26	0.288889
3	20000001	26	0.288889
3	20100001	26	0.288889
3	20200001	27	0.3
3	20300001	27	0.3
3	20400001	27	0.3
3	20500001	26	0.288889
3	20600001	24	0.266667
3	20700001	24	0.266667
3	20800001	24	0.266667
3	20900001	24	0.266667
3	21000001	24	0.266667
3	21100001	24	0.266667
3	21200001	24	0.266667
3	21300001	19	0.211111
3	21400001	19	0.211111
3	21500001	20	0.222222
3	21600001	19	0.211111
3	21700001	19	0.211111
3	21800001	19	0.211111
3	21900001	19	0.211111
3	22000001	18	0.2
3	22100001	18	0.2
3	22200001	17	0.188889
3	22300001	16	0.177778
3	22400001	16	0.177778
3	22500001	16	0.177778
3	22600001	14	0.155556
3	22700001	14	0.155556
3	22800001	15	0.166667
3	22900001	15	0.166667
3	23000001	10	0.111111
3	23100001	10	0.111111
3	23200001	11	0.122222
3	23300001	11	0.122222
3	23400001	11	0.122222
3	23500001	11	0.122222
3	23600001	11	0.122222
3	23700001	11	0.122222
3	23800001	12	0.133333
3	23900001	12	0.133333
3	24000001	12	0.133333
3	24100001	12	0.133333
3	24200001	12	0.133333
3	24300001	11	0.122222
3	24400001	11	0.122222
3	24500001	12	0.133333
3	24600001	12	0.133333
3	24700001	13	0.144444
3	24800001	13	0.144444
3	24900001	13	0.144444
3	25000001	13	0.144444
3	25100001	14	0.155556
3	25200001	14	0.155556
3	25300001	15	0.166667
3	25400001	15	0.166667
3	25500001	15	0.166667
3	25600001	14	0.155556
3	25700001	16	0.177778
3	25800001	16	0.177778
3	25900001	18	0.2
3	26000001	18	0.2
3	26100001	18	0.2
3	26200001	18	0.2
3	26300001	18	0.2
3	26400001	18	0.2
3	26500001	22	0.244444
3	26600001	22	0.244444
3	26700001	22	0.244444
3	26800001	21	0.233333
3	26900001	25	0.277778
3	27000001	25	0.277778
3	27100001	25	0.277778
3	27200001	25	0.277778
3	27300001	23	0.255556
3	27400001	23	0.255556
3	27500001	23	0.255556
3	27600001	24	0.266667
3	27700001	24	0.266667
3	27800001	24	0.266667
3	27900001	24	0.266667
3	28000001	24	0.266667
3	28100001	24	0.266667
3	28200001	24	0.266667
3	28300001	24	0.266667
3	28400001	24	0.266667
3	28500001	24	0.266667
3	28600001	24	0.266667
3	28700001	24	0.266667
3	28800001	24	0.266667
3	28900001	24	0.266667
3	29000001	24	0.266667
3	29100001	24	0.266667
3	29200001	27	0.3
3	29300001	26	0.288889
3	29400001	26	0.288889
3	29500001	26	0.288889
3	29600001	28	0.311111
3	29700001	26	0.288889
3	29800001	26	0.288889
3	29900001	26	0.288889
3	30000001	26	0.288889
3	30100001	26	0.288889
3	30200001	26	0.288889
3	30300001	25	0.277778
3	30400001	25	0.277778
3	30500001	25	0.277778
3	30600001	21	0.233333
3	30700001	24	0.266667
3	30800001	24	0.266667
3	30900001	24	0.266667
3	31000001	24	0.266667
3	31100001	24	0.266667
3	31200001	24	0.266667
3	31300001	23	0.255556
3	31400001	25	0.277778
3	31500001	25	0.277778
3	31600001	25	0.277778
3	31700001	25	0.277778
3	31800001	25	0.277778
3	31900001	25	0.277778
3	32000001	25	0.277778
3	32100001	23	0.255556
3	32200001	23	0.255556
3	32300001	24	0.266667
3	32400001	24	0.266667
3	32500001	30	0.333333
3	32600001	31	0.344444
3	32700001	31	0.344444
3	32800001	31	0.344444
3	32900001	32	0.355556
3	33000001	33	0.366667
3	33100001	33	0.366667
3	33200001	33	0.366667
3	33300001	35	0.388889
3	33400001	35	0.388889
3	33500001	35	0.388889
3	33600001	34	0.377778
3	33700001	34	0.377778
3	33800001	34	0.377778
3	33900001	38	0.422222
3	34000001	38	0.422222
3	34100001	39	0.433333
3	34200001	39	0.433333
3	34300001	38	0.422222
3	34400001	38	0.422222
3	34500001	39	0.433333
3	34600001	42	0.466667
3	34700001	42	0.466667
3	34800001	41	0.455556
3	34900001	42	0.466667
3	35000001	43	0.477778
3	35100001	42	0.466667
3	35200001	42	0.466667
3	35300001	42	0.466667
3	35400001	42	0.466667
3	35500001	42	0.466667
3	35600001	41	0.455556
3	35700001	41	0.455556
3	35800001	39	0.433333
3	35900001	39	0.433333
3	36000001	39	0.433333
3	36100001	41	0.455556
3	36200001	41	0.455556
3	36300001	41	0.455556
3	36400001	41	0.455556
3	36500001	39	0.433333
3	36600001	40	0.444444
3	36700001	40	0.444444
3	36800001	32	0.355556
3	36900001	32	0.355556
3	37000001	32	0.355556
3	37100001	33	0.366667
3	37200001	36	0.4
3	37300001	37	0.411111
3	37400001	37	0.411111
3	37500001	37	0.411111
3	37600001	37	0.411111
3	37700001	37	0.411111
3	37800001	33	0.366667
3	37900001	33	0.366667
3	38000001	33	0.366667
3	38100001	33	0.366667
3	38200001	33	0.366667
3	38300001	33	0.366667
3	38400001	33	0.366667
3	38500001	33	0.366667
3	38600001	33	0.366667
3	38700001	33	0.366667
3	38800001	34	0.377778
3	38900001	34	0.377778
3	39000001	34	0.377778
3	39100001	34	0.377778
3	39200001	34	0.377778
3	39300001	34	0.377778
3	39400001	34	0.377778
3	39500001	34	0.377778
3	39600001	35	0.388889
3	39700001	35	0.388889
3	39800001	36	0.4
3	39900001	36	0.4
3	40000001	36	0.4
3	40100001	36	0.4
3	40200001	36	0.4
3	40300001	36	0.4
3	40400001	36	0.4
3	40500001	33	0.366667
3	40600001	31	0.344444
3	40700001	30	0.333333
3	40800001	28	0.311111
3	40900001	28	0.311111
3	41000001	29	0.322222
3	41100001	29	0.322222
3	41200001	29	0.322222
3	41300001	29	0.322222
3	41400001	29	0.322222
3	41500001	23	0.255556
3	41600001	22	0.244444
3	41700001	22	0.244444
3	41800001	22	0.244444
3	41900001	24	0.266667
3	42000001	24	0.266667
3	42100001	26	0.288889
3	42200001	26	0.288889
