CHR	POS	COUNT	FREQUENCY
1	1	0	0
1	100001	10	0.2
1	200001	16	0.32
1	300001	16	0.32
1	400001	16	0.32
1	500001	16	0.32
1	600001	16	0.32
1	700001	16	0.32
1	800001	16	0.32
1	900001	16	0.32
1	1000001	16	0.32
1	1100001	16	0.32
1	1200001	16	0.32
1	1300001	16	0.32
1	1400001	16	0.32
1	1500001	16	0.32
1	1600001	18	0.36
1	1700001	18	0.36
1	1800001	18	0.36
1	1900001	20	0.4
1	2000001	20	0.4
1	2100001	20	0.4
1	2200001	20	0.4
1	2300001	20	0.4
1	2400001	20	0.4
1	2500001	20	0.4
1	2600001	20	0.4
1	2700001	20	0.4
1	2800001	20	0.4
1	2900001	20	0.4
1	3000001	20	0.4
1	3100001	20	0.4
1	3200001	20	0.4
1	3300001	20	0.4
1	3400001	20	0.4
1	3500001	21	0.42
1	3600001	21	0.42
1	3700001	21	0.42
1	3800001	21	0.42
1	3900001	21	0.42
1	4000001	21	0.42
1	4100001	21	0.42
1	4200001	21	0.42
1	4300001	21	0.42
1	4400001	21	0.42
1	4500001	21	0.42
1	4600001	21	0.42
1	4700001	21	0.42
1	4800001	21	0.42
1	4900001	21	0.42
1	5000001	21	0.42
1	5100001	21	0.42
1	5200001	21	0.42
1	5300001	21	0.42
1	5400001	21	0.42
1	5500001	21	0.42
1	5600001	21	0.42
1	5700001	23	0.46
1	5800001	23	0.46
1	5900001	23	0.46
1	6000001	23	0.46
1	6100001	23	0.46
1	6200001	23	0.46
1	6300001	23	0.46
1	6400001	23	0.46
1	6500001	23	0.46
1	6600001	22	0.44
1	6700001	22	0.44
1	6800001	22	0.44
1	6900001	22	0.44
1	7000001	22	0.44
1	7100001	22	0.44
1	7200001	22	0.44
1	7300001	22	0.44
1	7400001	22	0.44
1	7500001	23	0.46
1	7600001	23	0.46
1	7700001	23	0.46
1	7800001	22	0.44
1	7900001	22	0.44
1	8000001	22	0.44
1	8100001	21	0.42
1	8200001	21	0.42
1	8300001	21	0.42
1	8400001	21	0.42
1	8500001	21	0.42
1	8600001	22	0.44
1	8700001	22	0.44
1	8800001	22	0.44
1	8900001	22	0.44
1	9000001	22	0.44
1	9100001	22	0.44
1	9200001	22	0.44
1	9300001	22	0.44
1	9400001	22	0.44
1	9500001	22	0.44
1	9600001	22	0.44
1	9700001	21	0.42
1	9800001	22	0.44
1	9900001	22	0.44
1	10000001	22	0.44
1	10100001	22	0.44
1	10200001	22	0.44
1	10300001	22	0.44
1	10400001	22	0.44
1	10500001	22	0.44
1	10600001	22	0.44
1	10700001	22	0.44
1	10800001	22	0.44
1	10900001	22	0.44
1	11000001	22	0.44
1	11100001	22	0.44
1	11200001	18	0.36
1	11300001	18	0.36
1	11400001	18	0.36
1	11500001	18	0.36
1	11600001	18	0.36
1	11700001	18	0.36
1	11800001	19	0.38
1	11900001	19	0.38
1	12000001	19	0.38
1	12100001	19	0.38
1	12200001	19	0.38
1	12300001	19	0.38
1	12400001	19	0.38
1	12500001	19	0.38
1	12600001	19	0.38
1	12700001	19	0.38
1	12800001	19	0.38
1	12900001	19	0.38
1	13000001	19	0.38
1	13100001	19	0.38
1	13200001	19	0.38
1	13300001	19	0.38
1	13400001	20	0.4
1	13500001	20	0.4
1	13600001	20	0.4
1	13700001	20	0.4
1	13800001	20	0.4
1	13900001	20	0.4
1	14000001	20	0.4
1	14100001	20	0.4
1	14200001	20	0.4
1	14300001	20	0.4
1	14400001	20	0.4
1	14500001	20	0.4
1	14600001	20	0.4
1	14700001	20	0.4
1	14800001	18	0.36
1	14900001	18	0.36
1	15000001	18	0.36
1	15100001	18	0.36
1	15200001	18	0.36
1	15300001	18	0.36
1	15400001	18	0.36
1	15500001	18	0.36
1	15600001	18	0.36
1	15700001	18	0.36
1	15800001	18	0.36
1	15900001	18	0.36
1	16000001	18	0.36
1	16100001	18	0.36
1	16200001	20	0.4
1	16300001	20	0.4
1	16400001	21	0.42
1	16500001	17	0.34
1	16600001	16	0.32
1	16700001	16	0.32
1	16800001	16	0.32
1	16900001	18	0.36
1	17000001	18	0.36
1	17100001	18	0.36
1	17200001	18	0.36
1	17300001	18	0.36
1	17400001	18	0.36
1	17500001	18	0.36
1	17600001	17	0.34
1	17700001	17	0.34
1	17800001	17	0.34
1	17900001	15	0.3
1	18000001	15	0.3
1	18100001	15	0.3
1	18200001	16	0.32
1	18300001	16	0.32
