CHR	POS	COUNT	FREQUENCY	Length_kb	Hotspot_interval
3	3100001	50	0.25	200	[3100001,3300000]
3	3400001	54	0.27	300	[3400001,3700000]
3	3700001	50	0.25	100	[3700001,3800000]
3	75300001	52	0.26	200	[75300001,75500000]
3	75500001	50	0.25	300	[75500001,75800000]
3	75800001	54	0.27	100	[75800001,75900000]
3	75900001	52	0.26	100	[75900001,76000000]
3	3300000	50	0.25	200	[3100001,3300000]
3	3700000	54	0.27	300	[3400001,3700000]
3	3800000	50	0.25	100	[3700001,3800000]
3	75500000	52	0.26	200	[75300001,75500000]
3	75800000	50	0.25	300	[75500001,75800000]
3	75900000	54	0.27	100	[75800001,75900000]
3	76000000	52	0.26	100	[75900001,76000000]
